               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
 DSO 1        0,0.651     ,-2.78     ,-2.38     ,0.0238    ,          ,          ,          ,          ,  -8197274
 DSO 1        1,0.730     ,1.59      ,0.99      ,0.0367    ,          ,          ,          ,          ,  -8187274
 DSO 1        2,0.762     ,1.98      ,-4.96     ,0.0327    ,          ,          ,          ,          ,  -8177274
 DSO 1        3,0.556     ,0.00      ,0.20      ,0.0278    ,          ,          ,          ,          ,  -8167274
 DSO 1        4,0.603     ,-4.56     ,1.19      ,0.0308    ,          ,          ,          ,          ,  -8157274
 DSO 1        5,0.508     ,0.40      ,-1.19     ,0.0169    ,          ,          ,          ,          ,  -8147274
 DSO 1        6,0.508     ,-1.19     ,0.00      ,0.0238    ,          ,          ,          ,          ,  -8137274
 DSO 2        0,          ,          ,          ,          ,0.984     ,0.647     ,0.865     ,0.0214    ,  -8135798
 DSO 1        7,0.651     ,-2.98     ,-2.98     ,0.0288    ,          ,          ,          ,          ,  -8127274
 DSO 2        1,          ,          ,          ,          ,0.706     ,0.349     ,0.885     ,0.0171    ,  -8125798
 DSO 1        8,0.651     ,-0.40     ,-3.37     ,0.0337    ,          ,          ,          ,          ,  -8117274
 DSO 2        2,          ,          ,          ,          ,0.845     ,0.548     ,0.984     ,0.0179    ,  -8115798
 DSO 1        9,0.571     ,-1.59     ,0.99      ,0.0228    ,          ,          ,          ,          ,  -8107274
 DSO 2        3,          ,          ,          ,          ,0.012     ,-0.147    ,0.429     ,0.0163    ,  -8105798
 DSO 1       10,0.714     ,0.00      ,-2.38     ,0.0278    ,          ,          ,          ,          ,  -8097274
 DSO 2        4,          ,          ,          ,          ,0.369     ,0.111     ,0.052     ,0.0135    ,  -8095798
 DSO 1       11,0.603     ,-0.99     ,-0.20     ,0.0268    ,          ,          ,          ,          ,  -8087274
 DSO 2        5,          ,          ,          ,          ,0.508     ,0.171     ,0.766     ,0.0111    ,  -8085798
 DSO 1       12,0.698     ,-2.78     ,-0.20     ,0.0327    ,          ,          ,          ,          ,  -8077274
 DSO 2        6,          ,          ,          ,          ,0.310     ,0.190     ,0.349     ,0.0147    ,  -8075798
 DSO 1       13,0.587     ,-4.17     ,3.57      ,0.0198    ,          ,          ,          ,          ,  -8067274
 DSO 2        7,          ,          ,          ,          ,0.825     ,0.548     ,0.607     ,0.0226    ,  -8065798
 DSO 1       14,0.603     ,0.40      ,1.98      ,0.0208    ,          ,          ,          ,          ,  -8057274
