               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
 DSO 2        8,          ,          ,          ,          ,0.786     ,0.310     ,0.706     ,0.0218    ,  -8055798
 DSO 1       15,0.508     ,1.19      ,3.57      ,0.0258    ,          ,          ,          ,          ,  -8047274
 DSO 2        9,          ,          ,          ,          ,0.349     ,0.448     ,0.885     ,0.0187    ,  -8045798
 DSO 1       16,0.762     ,-2.78     ,-3.97     ,0.0367    ,          ,          ,          ,          ,  -8037274
 DSO 2       10,          ,          ,          ,          ,0.587     ,0.548     ,0.528     ,0.0179    ,  -8035798
 DSO 1       17,0.683     ,-1.98     ,-1.39     ,0.0317    ,          ,          ,          ,          ,  -8027274
 DSO 2       11,          ,          ,          ,          ,0.310     ,0.726     ,0.766     ,0.0202    ,  -8025798
 DSO 1       18,0.524     ,2.78      ,-2.38     ,0.0278    ,          ,          ,          ,          ,  -8017274
 DSO 2       12,          ,          ,          ,          ,0.290     ,0.270     ,0.429     ,0.0131    ,  -8015798
 DSO 1       19,0.714     ,-0.40     ,-2.78     ,0.0248    ,          ,          ,          ,          ,  -8007274
 DSO 2       13,          ,          ,          ,          ,0.429     ,0.111     ,0.528     ,0.0202    ,  -8005798
 DSO 1       20,0.667     ,0.79      ,-0.20     ,0.0437    ,          ,          ,          ,          ,  -7997274
 DSO 2       14,          ,          ,          ,          ,0.190     ,-0.107    ,0.508     ,0.0202    ,  -7995798
 DSO 1       21,0.571     ,-4.17     ,0.79      ,0.0188    ,          ,          ,          ,          ,  -7987274
 DSO 2       15,          ,          ,          ,          ,0.230     ,0.071     ,0.369     ,0.0143    ,  -7985798
 DSO 1       22,0.841     ,-0.20     ,0.60      ,0.0308    ,          ,          ,          ,          ,  -7977274
 DSO 2       16,          ,          ,          ,          ,0.369     ,0.647     ,0.687     ,0.0155    ,  -7975798
 DSO 1       23,0.921     ,-2.38     ,0.00      ,0.0188    ,          ,          ,          ,          ,  -7967274
 DSO 2       17,          ,          ,          ,          ,0.627     ,0.190     ,1.143     ,0.0175    ,  -7965798
 DSO 1       24,0.619     ,-1.59     ,0.20      ,0.0238    ,          ,          ,          ,          ,  -7957274
 DSO 2       18,          ,          ,          ,          ,0.349     ,0.687     ,0.885     ,0.0206    ,  -7955798
 DSO 1       25,0.651     ,-3.37     ,0.00      ,0.0188    ,          ,          ,          ,          ,  -7947274
 DSO 2       19,          ,          ,          ,          ,0.429     ,0.667     ,0.825     ,0.0226    ,  -7945798
 DSO 1       26,0.778     ,1.39      ,-3.37     ,0.0417    ,          ,          ,          ,          ,  -7937274
 DSO 2       20,          ,          ,          ,          ,0.111     ,-0.107    ,0.250     ,0.0187    ,  -7935798
 DSO 1       27,0.524     ,-1.19     ,-0.40     ,0.0258    ,          ,          ,          ,          ,  -7927274
 DSO 2       21,          ,          ,          ,          ,0.349     ,0.250     ,0.607     ,0.0135    ,  -7925798
 DSO 1       28,0.714     ,-3.97     ,1.39      ,0.0357    ,          ,          ,          ,          ,  -7917274
 DSO 2       22,          ,          ,          ,          ,0.230     ,0.171     ,0.369     ,0.0167    ,  -7915798
 DSO 1       29,0.540     ,-1.79     ,1.79      ,0.0149    ,          ,          ,          ,          ,  -7907274
 DSO 2       23,          ,          ,          ,          ,0.389     ,-0.048    ,0.329     ,0.0206    ,  -7905798
 DSO 1       30,0.524     ,-1.98     ,3.17      ,0.0278    ,          ,          ,          ,          ,  -7897274
 DSO 2       24,          ,          ,          ,          ,0.448     ,0.270     ,0.865     ,0.0187    ,  -7895798
 DSO 1       31,0.651     ,-1.59     ,3.17      ,0.0129    ,          ,          ,          ,          ,  -7887274
 DSO 2       25,          ,          ,          ,          ,0.687     ,0.369     ,0.726     ,0.0139    ,  -7885798
 DSO 1       32,0.603     ,0.20      ,1.39      ,0.0258    ,          ,          ,          ,          ,  -7877274
 DSO 2       26,          ,          ,          ,          ,0.607     ,0.528     ,0.706     ,0.0183    ,  -7875798
 DSO 1       33,0.651     ,-0.99     ,-0.60     ,0.0238    ,          ,          ,          ,          ,  -7867274
 DSO 2       27,          ,          ,          ,          ,0.766     ,0.567     ,0.687     ,0.0246    ,  -7865798
 DSO 1       34,0.810     ,-3.37     ,-1.39     ,0.0288    ,          ,          ,          ,          ,  -7857274
 DSO 2       28,          ,          ,          ,          ,0.389     ,0.012     ,0.468     ,0.0155    ,  -7855798
 DSO 1       35,0.698     ,4.17      ,-1.79     ,0.0228    ,          ,          ,          ,          ,  -7847274
 DSO 2       29,          ,          ,          ,          ,0.071     ,0.190     ,0.290     ,0.0202    ,  -7845798
 DSO 1       36,0.825     ,-3.17     ,0.20      ,0.0427    ,          ,          ,          ,          ,  -7837274
 DSO 2       30,          ,          ,          ,          ,0.310     ,-0.008    ,0.429     ,0.0194    ,  -7835798
 DSO 1       37,0.492     ,-2.98     ,3.17      ,0.0258    ,          ,          ,          ,          ,  -7827274
 DSO 2       31,          ,          ,          ,          ,0.111     ,0.210     ,0.429     ,0.0151    ,  -7825798
 DSO 1       38,0.571     ,4.17      ,1.79      ,0.0377    ,          ,          ,          ,          ,  -7817274
 DSO 2       32,          ,          ,          ,          ,0.845     ,0.548     ,0.647     ,0.0262    ,  -7815798
 DSO 1       39,0.571     ,-1.59     ,3.77      ,0.0407    ,          ,          ,          ,          ,  -7807274
 DSO 2       33,          ,          ,          ,          ,0.687     ,0.409     ,0.746     ,0.0163    ,  -7805798
 DSO 1       40,0.540     ,-2.18     ,0.79      ,0.0327    ,          ,          ,          ,          ,  -7797274
 DSO 2       34,          ,          ,          ,          ,0.448     ,0.607     ,0.567     ,0.0163    ,  -7795798
 DSO 1       41,0.683     ,-2.38     ,-2.38     ,0.0228    ,          ,          ,          ,          ,  -7787274
 DSO 2       35,          ,          ,          ,          ,0.706     ,0.786     ,0.627     ,0.0230    ,  -7785798
 DSO 1       42,0.508     ,0.60      ,-0.20     ,0.0308    ,          ,          ,          ,          ,  -7777274
 DSO 2       36,          ,          ,          ,          ,0.468     ,0.091     ,0.290     ,0.0151    ,  -7775798
 DSO 1       43,0.683     ,1.59      ,1.19      ,0.0139    ,          ,          ,          ,          ,  -7767274
 DSO 2       37,          ,          ,          ,          ,0.389     ,-0.107    ,0.290     ,0.0167    ,  -7765798
 DSO 1       44,0.540     ,2.38      ,-3.37     ,0.0258    ,          ,          ,          ,          ,  -7757274
 DSO 2       38,          ,          ,          ,          ,0.468     ,0.230     ,0.627     ,0.0163    ,  -7755798
 DSO 1       45,0.651     ,-2.98     ,4.56      ,0.0208    ,          ,          ,          ,          ,  -7747274
 DSO 2       39,          ,          ,          ,          ,0.448     ,0.290     ,0.488     ,0.0254    ,  -7745798
 DSO 1       46,0.508     ,-1.19     ,-0.79     ,0.0169    ,          ,          ,          ,          ,  -7737274
 DSO 2       40,          ,          ,          ,          ,0.647     ,0.329     ,0.825     ,0.0175    ,  -7735798
 DSO 1       47,0.587     ,-2.78     ,3.17      ,0.0129    ,          ,          ,          ,          ,  -7727274
 DSO 2       41,          ,          ,          ,          ,0.528     ,0.825     ,0.627     ,0.0194    ,  -7725798
 DSO 1       48,0.635     ,-1.98     ,0.60      ,0.0079    ,          ,          ,          ,          ,  -7717274
 DSO 2       42,          ,          ,          ,          ,0.448     ,0.329     ,0.528     ,0.0171    ,  -7715798
 DSO 1       49,0.635     ,-0.40     ,0.00      ,0.0278    ,          ,          ,          ,          ,  -7707274
 DSO 2       43,          ,          ,          ,          ,0.647     ,0.429     ,0.706     ,0.0278    ,  -7705798
 DSO 1       50,0.730     ,-2.78     ,0.79      ,0.0159    ,          ,          ,          ,          ,  -7697274
 DSO 2       44,          ,          ,          ,          ,0.607     ,0.369     ,0.746     ,0.0242    ,  -7695798
 DSO 1       51,0.762     ,-0.79     ,0.99      ,0.0268    ,          ,          ,          ,          ,  -7687274
 DSO 2       45,          ,          ,          ,          ,0.329     ,-0.067    ,0.448     ,0.0151    ,  -7685798
 DSO 1       52,1.016     ,0.60      ,-1.98     ,0.0238    ,          ,          ,          ,          ,  -7677274
 DSO 2       46,          ,          ,          ,          ,0.111     ,0.012     ,0.349     ,0.0135    ,  -7675798
 DSO 1       53,0.381     ,-4.56     ,3.97      ,0.0248    ,          ,          ,          ,          ,  -7667274
 DSO 2       47,          ,          ,          ,          ,0.349     ,0.250     ,0.528     ,0.0198    ,  -7665798
 DSO 1       54,0.460     ,0.99      ,1.59      ,0.0218    ,          ,          ,          ,          ,  -7657274
 DSO 2       48,          ,          ,          ,          ,0.468     ,0.071     ,0.389     ,0.0099    ,  -7655798
 DSO 1       55,0.444     ,2.18      ,4.76      ,0.0228    ,          ,          ,          ,          ,  -7647274
 DSO 2       49,          ,          ,          ,          ,0.627     ,0.488     ,0.865     ,0.0147    ,  -7645798
 DSO 1       56,0.667     ,-4.56     ,2.98      ,0.0109    ,          ,          ,          ,          ,  -7637274
 DSO 2       50,          ,          ,          ,          ,0.627     ,0.409     ,0.508     ,0.0151    ,  -7635798
 DSO 1       57,0.540     ,-1.98     ,-0.79     ,0.0258    ,          ,          ,          ,          ,  -7627274
 DSO 2       51,          ,          ,          ,          ,0.468     ,0.528     ,0.647     ,0.0218    ,  -7625798
 DSO 1       58,0.667     ,3.17      ,-2.78     ,0.0308    ,          ,          ,          ,          ,  -7617274
 DSO 2       52,          ,          ,          ,          ,0.548     ,0.409     ,0.806     ,0.0167    ,  -7615798
 DSO 1       59,0.667     ,-0.99     ,-0.60     ,0.0427    ,          ,          ,          ,          ,  -7607274
 DSO 2       53,          ,          ,          ,          ,0.369     ,0.131     ,0.587     ,0.0179    ,  -7605798
 DSO 1       60,0.587     ,0.20      ,1.19      ,0.0298    ,          ,          ,          ,          ,  -7597274
 DSO 2       54,          ,          ,          ,          ,0.270     ,0.190     ,0.389     ,0.0151    ,  -7595798
 DSO 1       61,0.540     ,-2.58     ,1.59      ,0.0248    ,          ,          ,          ,          ,  -7587274
 DSO 2       55,          ,          ,          ,          ,0.508     ,0.171     ,0.151     ,0.0183    ,  -7585798
 DSO 1       62,0.698     ,-3.37     ,1.79      ,0.0139    ,          ,          ,          ,          ,  -7577274
 DSO 2       56,          ,          ,          ,          ,0.389     ,0.071     ,0.508     ,0.0139    ,  -7575798
 DSO 1       63,0.429     ,-2.38     ,3.17      ,0.0238    ,          ,          ,          ,          ,  -7567274
 DSO 2       57,          ,          ,          ,          ,0.905     ,0.726     ,0.786     ,0.0206    ,  -7565798
 DSO 1       64,0.619     ,0.00      ,1.79      ,0.0218    ,          ,          ,          ,          ,  -7557274
 DSO 2       58,          ,          ,          ,          ,0.726     ,0.944     ,0.567     ,0.0175    ,  -7555798
 DSO 1       65,0.873     ,1.19      ,-1.39     ,0.0129    ,          ,          ,          ,          ,  -7547274
 DSO 2       59,          ,          ,          ,          ,0.627     ,0.687     ,0.687     ,0.0242    ,  -7545798
 DSO 1       66,0.762     ,-0.40     ,0.20      ,0.0288    ,          ,          ,          ,          ,  -7537274
 DSO 2       60,          ,          ,          ,          ,0.389     ,0.389     ,0.508     ,0.0250    ,  -7535798
 DSO 1       67,0.651     ,0.99      ,0.20      ,0.0228    ,          ,          ,          ,          ,  -7527274
 DSO 2       61,          ,          ,          ,          ,0.409     ,-0.008    ,0.310     ,0.0155    ,  -7525798
 DSO 1       68,0.444     ,0.20      ,-2.58     ,0.0238    ,          ,          ,          ,          ,  -7517274
 DSO 2       62,          ,          ,          ,          ,0.052     ,0.111     ,0.290     ,0.0155    ,  -7515798
 DSO 1       69,0.571     ,-2.98     ,1.98      ,0.0139    ,          ,          ,          ,          ,  -7507274
 DSO 2       63,          ,          ,          ,          ,0.071     ,0.210     ,0.508     ,0.0171    ,  -7505798
 DSO 1       70,0.429     ,-2.38     ,0.20      ,0.0288    ,          ,          ,          ,          ,  -7497274
 DSO 2       64,          ,          ,          ,          ,0.230     ,0.290     ,0.270     ,0.0159    ,  -7495798
 DSO 1       71,0.873     ,-3.37     ,1.79      ,0.0327    ,          ,          ,          ,          ,  -7487274
 DSO 2       65,          ,          ,          ,          ,0.706     ,0.528     ,0.706     ,0.0198    ,  -7485798
 DSO 1       72,0.683     ,0.20      ,3.57      ,0.0218    ,          ,          ,          ,          ,  -7477274
 DSO 2       66,          ,          ,          ,          ,0.587     ,0.250     ,0.607     ,0.0210    ,  -7475798
 DSO 1       73,0.810     ,1.39      ,-1.79     ,0.0308    ,          ,          ,          ,          ,  -7467274
 DSO 2       67,          ,          ,          ,          ,0.627     ,0.567     ,0.766     ,0.0238    ,  -7465798
 DSO 1       74,0.524     ,-1.59     ,1.59      ,0.0179    ,          ,          ,          ,          ,  -7457274
 DSO 2       68,          ,          ,          ,          ,0.448     ,0.726     ,0.806     ,0.0187    ,  -7455798
 DSO 1       75,0.508     ,0.20      ,-0.79     ,0.0357    ,          ,          ,          ,          ,  -7447274
 DSO 2       69,          ,          ,          ,          ,0.290     ,-0.127    ,0.429     ,0.0159    ,  -7445798
 DSO 1       76,0.794     ,2.18      ,0.00      ,0.0337    ,          ,          ,          ,          ,  -7437274
 DSO 2       70,          ,          ,          ,          ,0.369     ,0.091     ,0.250     ,0.0151    ,  -7435798
 DSO 1       77,0.095     ,-1.59     ,-3.57     ,0.0308    ,          ,          ,          ,          ,  -7427274
 DSO 2       71,          ,          ,          ,          ,0.071     ,-0.147    ,0.290     ,0.0167    ,  -7425798
 DSO 1       78,0.524     ,-0.99     ,1.39      ,0.0278    ,          ,          ,          ,          ,  -7417274
 DSO 2       72,          ,          ,          ,          ,0.349     ,0.250     ,0.429     ,0.0171    ,  -7415798
 DSO 1       79,0.540     ,-4.96     ,1.19      ,0.0228    ,          ,          ,          ,          ,  -7407274
 DSO 2       73,          ,          ,          ,          ,0.647     ,0.627     ,0.607     ,0.0135    ,  -7405798
 DSO 1       80,0.619     ,2.18      ,1.59      ,0.0238    ,          ,          ,          ,          ,  -7397274
 DSO 2       74,          ,          ,          ,          ,0.687     ,0.587     ,0.786     ,0.0187    ,  -7395798
 DSO 1       81,0.429     ,0.99      ,-0.99     ,0.0357    ,          ,          ,          ,          ,  -7387274
 DSO 2       75,          ,          ,          ,          ,0.627     ,0.369     ,0.627     ,0.0187    ,  -7385798
 DSO 1       82,0.730     ,-0.60     ,0.79      ,0.0278    ,          ,          ,          ,          ,  -7377274
 DSO 2       76,          ,          ,          ,          ,0.607     ,0.310     ,0.210     ,0.0151    ,  -7375798
 DSO 1       83,0.556     ,-0.79     ,-1.98     ,0.0258    ,          ,          ,          ,          ,  -7367274
 DSO 2       77,          ,          ,          ,          ,0.567     ,0.587     ,0.905     ,0.0171    ,  -7365798
 DSO 1       84,0.508     ,0.99      ,-0.99     ,0.0387    ,          ,          ,          ,          ,  -7357274
 DSO 2       78,          ,          ,          ,          ,-0.048    ,0.071     ,0.329     ,0.0143    ,  -7355798
 DSO 1       85,0.603     ,-0.20     ,-1.39     ,0.0377    ,          ,          ,          ,          ,  -7347274
 DSO 2       79,          ,          ,          ,          ,0.171     ,0.290     ,0.131     ,0.0123    ,  -7345798
 DSO 1       86,0.429     ,-3.17     ,4.56      ,0.0377    ,          ,          ,          ,          ,  -7337274
 DSO 2       80,          ,          ,          ,          ,0.508     ,-0.048    ,0.627     ,0.0230    ,  -7335798
 DSO 1       87,0.619     ,-4.96     ,0.40      ,0.0208    ,          ,          ,          ,          ,  -7327274
 DSO 2       81,          ,          ,          ,          ,-0.127    ,0.012     ,0.528     ,0.0179    ,  -7325798
 DSO 1       88,0.571     ,-0.40     ,3.97      ,0.0327    ,          ,          ,          ,          ,  -7317274
 DSO 2       82,          ,          ,          ,          ,0.806     ,0.488     ,0.706     ,0.0190    ,  -7315798
 DSO 1       89,0.460     ,-0.99     ,3.17      ,0.0208    ,          ,          ,          ,          ,  -7307274
 DSO 2       83,          ,          ,          ,          ,0.627     ,0.310     ,0.607     ,0.0278    ,  -7305798
 DSO 1       90,0.492     ,-2.38     ,-1.19     ,0.0367    ,          ,          ,          ,          ,  -7297274
 DSO 2       84,          ,          ,          ,          ,0.687     ,0.448     ,0.627     ,0.0159    ,  -7295798
 DSO 1       91,0.714     ,-0.20     ,-1.19     ,0.0308    ,          ,          ,          ,          ,  -7287274
 DSO 2       85,          ,          ,          ,          ,0.647     ,0.687     ,0.587     ,0.0214    ,  -7285798
 DSO 1       92,0.746     ,-1.39     ,-1.59     ,0.0238    ,          ,          ,          ,          ,  -7277274
 DSO 2       86,          ,          ,          ,          ,0.429     ,0.091     ,0.171     ,0.0187    ,  -7275798
 DSO 1       93,0.714     ,-1.19     ,-2.98     ,0.0337    ,          ,          ,          ,          ,  -7267274
 DSO 2       87,          ,          ,          ,          ,0.171     ,0.111     ,0.389     ,0.0155    ,  -7265798
 DSO 1       94,0.429     ,-0.79     ,1.19      ,0.0258    ,          ,          ,          ,          ,  -7257274
 DSO 2       88,          ,          ,          ,          ,0.270     ,0.468     ,0.468     ,0.0218    ,  -7255798
 DSO 1       95,0.571     ,-4.96     ,0.79      ,0.0278    ,          ,          ,          ,          ,  -7247274
 DSO 2       89,          ,          ,          ,          ,0.329     ,0.032     ,0.548     ,0.0171    ,  -7245798
 DSO 1       96,0.698     ,-0.40     ,3.57      ,0.0357    ,          ,          ,          ,          ,  -7237274
 DSO 2       90,          ,          ,          ,          ,0.567     ,0.706     ,0.806     ,0.0163    ,  -7235798
 DSO 1       97,0.571     ,-1.39     ,1.19      ,0.0218    ,          ,          ,          ,          ,  -7227274
 DSO 2       91,          ,          ,          ,          ,0.706     ,0.508     ,0.567     ,0.0206    ,  -7225798
 DSO 1       98,0.524     ,1.39      ,-0.79     ,0.0198    ,          ,          ,          ,          ,  -7217274
 DSO 2       92,          ,          ,          ,          ,0.488     ,0.171     ,0.687     ,0.0226    ,  -7215798
 DSO 1       99,0.619     ,-2.78     ,-2.38     ,0.0228    ,          ,          ,          ,          ,  -7207274
 DSO 2       93,          ,          ,          ,          ,0.726     ,0.488     ,0.508     ,0.0194    ,  -7205798
 DSO 1      100,0.698     ,1.19      ,1.19      ,0.0347    ,          ,          ,          ,          ,  -7197274
 DSO 2       94,          ,          ,          ,          ,0.270     ,-0.067    ,0.171     ,0.0135    ,  -7195798
 DSO 1      101,0.714     ,1.59      ,-5.16     ,0.0308    ,          ,          ,          ,          ,  -7187274
 DSO 2       95,          ,          ,          ,          ,0.310     ,0.171     ,0.131     ,0.0107    ,  -7185798
 DSO 1      102,0.508     ,-0.40     ,0.60      ,0.0278    ,          ,          ,          ,          ,  -7177274
 DSO 2       96,          ,          ,          ,          ,0.151     ,-0.008    ,0.488     ,0.0155    ,  -7175798
 DSO 1      103,0.571     ,-4.76     ,0.99      ,0.0298    ,          ,          ,          ,          ,  -7167274
 DSO 2       97,          ,          ,          ,          ,0.290     ,0.012     ,0.587     ,0.0095    ,  -7165798
 DSO 1      104,0.460     ,0.20      ,-1.19     ,0.0149    ,          ,          ,          ,          ,  -7157274
 DSO 2       98,          ,          ,          ,          ,0.885     ,0.726     ,0.567     ,0.0171    ,  -7155798
 DSO 1      105,0.492     ,-1.39     ,0.20      ,0.0218    ,          ,          ,          ,          ,  -7147274
 DSO 2       99,          ,          ,          ,          ,0.944     ,0.627     ,0.845     ,0.0214    ,  -7145798
 DSO 1      106,0.635     ,-2.98     ,-2.78     ,0.0278    ,          ,          ,          ,          ,  -7137274
 DSO 2      100,          ,          ,          ,          ,0.667     ,0.310     ,0.845     ,0.0167    ,  -7135798
 DSO 1      107,0.651     ,-0.40     ,-3.57     ,0.0308    ,          ,          ,          ,          ,  -7127274
 DSO 2      101,          ,          ,          ,          ,0.845     ,0.548     ,0.944     ,0.0179    ,  -7125798
 DSO 1      108,0.571     ,-1.59     ,0.99      ,0.0208    ,          ,          ,          ,          ,  -7117274
 DSO 2      102,          ,          ,          ,          ,0.032     ,-0.187    ,0.468     ,0.0159    ,  -7115798
 DSO 1      109,0.698     ,-0.20     ,-2.38     ,0.0298    ,          ,          ,          ,          ,  -7107274
 DSO 2      103,          ,          ,          ,          ,0.369     ,0.111     ,0.052     ,0.0131    ,  -7105798
 DSO 1      110,0.556     ,-1.19     ,0.00      ,0.0288    ,          ,          ,          ,          ,  -7097274
 DSO 2      104,          ,          ,          ,          ,0.508     ,0.210     ,0.746     ,0.0111    ,  -7095798
 DSO 1      111,0.683     ,-2.98     ,0.20      ,0.0308    ,          ,          ,          ,          ,  -7087274
 DSO 2      105,          ,          ,          ,          ,0.290     ,0.210     ,0.349     ,0.0147    ,  -7085798
 DSO 1      112,0.571     ,-4.56     ,3.57      ,0.0188    ,          ,          ,          ,          ,  -7077274
 DSO 2      106,          ,          ,          ,          ,0.825     ,0.548     ,0.567     ,0.0222    ,  -7075798
 DSO 1      113,0.587     ,0.40      ,1.98      ,0.0208    ,          ,          ,          ,          ,  -7067274
 DSO 2      107,          ,          ,          ,          ,0.786     ,0.270     ,0.667     ,0.0206    ,  -7065798
 DSO 1      114,0.508     ,0.99      ,3.77      ,0.0248    ,          ,          ,          ,          ,  -7057274
 DSO 2      108,          ,          ,          ,          ,0.349     ,0.429     ,0.905     ,0.0187    ,  -7055798
 DSO 1      115,0.714     ,-3.37     ,-4.17     ,0.0347    ,          ,          ,          ,          ,  -7047274
 DSO 2      109,          ,          ,          ,          ,0.607     ,0.548     ,0.528     ,0.0171    ,  -7045798
 DSO 1      116,0.667     ,-2.38     ,-1.19     ,0.0308    ,          ,          ,          ,          ,  -7037274
 DSO 2      110,          ,          ,          ,          ,0.290     ,0.687     ,0.786     ,0.0194    ,  -7035798
 DSO 1      117,0.508     ,2.98      ,-1.98     ,0.0258    ,          ,          ,          ,          ,  -7027274
 DSO 2      111,          ,          ,          ,          ,0.290     ,0.250     ,0.429     ,0.0127    ,  -7025798
 DSO 1      118,0.683     ,-0.60     ,-2.78     ,0.0248    ,          ,          ,          ,          ,  -7017274
 DSO 2      112,          ,          ,          ,          ,0.409     ,0.071     ,0.548     ,0.0194    ,  -7015798
 DSO 1      119,0.635     ,0.40      ,-0.20     ,0.0427    ,          ,          ,          ,          ,  -7007274
 DSO 2      113,          ,          ,          ,          ,0.171     ,-0.127    ,0.488     ,0.0202    ,  -7005798
 DSO 1      120,0.556     ,-4.17     ,0.99      ,0.0169    ,          ,          ,          ,          ,  -6997274
 DSO 2      114,          ,          ,          ,          ,0.290     ,0.032     ,0.329     ,0.0151    ,  -6995798
 DSO 1      121,0.825     ,-0.40     ,0.79      ,0.0308    ,          ,          ,          ,          ,  -6987274
 DSO 2      115,          ,          ,          ,          ,0.349     ,0.647     ,0.687     ,0.0159    ,  -6985798
 DSO 1      122,0.889     ,-2.58     ,0.20      ,0.0169    ,          ,          ,          ,          ,  -6977274
 DSO 2      116,          ,          ,          ,          ,0.587     ,0.151     ,1.143     ,0.0167    ,  -6975798
 DSO 1      123,0.587     ,-1.59     ,0.40      ,0.0208    ,          ,          ,          ,          ,  -6967274
 DSO 2      117,          ,          ,          ,          ,0.369     ,0.647     ,0.865     ,0.0190    ,  -6965798
 DSO 1      124,0.635     ,-3.17     ,0.00      ,0.0198    ,          ,          ,          ,          ,  -6957274
 DSO 2      118,          ,          ,          ,          ,0.429     ,0.627     ,0.825     ,0.0226    ,  -6955798
 DSO 1      125,0.730     ,1.19      ,-3.57     ,0.0417    ,          ,          ,          ,          ,  -6947274
 DSO 2      119,          ,          ,          ,          ,0.111     ,-0.147    ,0.230     ,0.0187    ,  -6945798
 DSO 1      126,0.524     ,-1.19     ,-0.60     ,0.0248    ,          ,          ,          ,          ,  -6937274
 DSO 2      120,          ,          ,          ,          ,0.369     ,0.250     ,0.607     ,0.0123    ,  -6935798
 DSO 1      127,0.698     ,-3.97     ,1.19      ,0.0337    ,          ,          ,          ,          ,  -6927274
 DSO 2      121,          ,          ,          ,          ,0.190     ,0.131     ,0.369     ,0.0167    ,  -6925798
 DSO 1      128,0.524     ,-1.79     ,1.59      ,0.0129    ,          ,          ,          ,          ,  -6917274
 DSO 2      122,          ,          ,          ,          ,0.369     ,-0.067    ,0.310     ,0.0206    ,  -6915798
 DSO 1      129,0.492     ,-1.98     ,3.17      ,0.0258    ,          ,          ,          ,          ,  -6907274
 DSO 2      123,          ,          ,          ,          ,0.448     ,0.250     ,0.845     ,0.0179    ,  -6905798
 DSO 1      130,0.603     ,-1.39     ,3.37      ,0.0129    ,          ,          ,          ,          ,  -6897274
 DSO 2      124,          ,          ,          ,          ,0.647     ,0.329     ,0.746     ,0.0127    ,  -6895798
 DSO 1      131,0.571     ,0.40      ,1.39      ,0.0258    ,          ,          ,          ,          ,  -6887274
 DSO 2      125,          ,          ,          ,          ,0.607     ,0.468     ,0.687     ,0.0175    ,  -6885798
 DSO 1      132,0.603     ,-0.79     ,-0.60     ,0.0218    ,          ,          ,          ,          ,  -6877274
 DSO 2      126,          ,          ,          ,          ,0.806     ,0.567     ,0.687     ,0.0242    ,  -6875798
 DSO 1      133,0.794     ,-2.98     ,-1.39     ,0.0288    ,          ,          ,          ,          ,  -6867274
 DSO 2      127,          ,          ,          ,          ,0.389     ,-0.028    ,0.429     ,0.0155    ,  -6865798
