               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
 DSO 1       32,0.778     ,3.17      ,2.18      ,0.0694    ,          ,          ,          ,          ,  -7879690
 DSO 2       26,          ,          ,          ,          ,0.468     ,0.607     ,0.567     ,0.0167    ,  -7877072
 DSO 1       33,0.968     ,-1.79     ,0.00      ,0.0575    ,          ,          ,          ,          ,  -7869690
 DSO 2       27,          ,          ,          ,          ,0.687     ,0.786     ,0.647     ,0.0234    ,  -7867072
 DSO 1       34,0.762     ,-0.40     ,3.57      ,0.0734    ,          ,          ,          ,          ,  -7859690
 DSO 2       28,          ,          ,          ,          ,0.488     ,0.091     ,0.310     ,0.0163    ,  -7857072
 DSO 1       35,0.778     ,-0.99     ,2.38      ,0.0694    ,          ,          ,          ,          ,  -7849690
 DSO 2       29,          ,          ,          ,          ,0.389     ,-0.087    ,0.310     ,0.0171    ,  -7847072
 DSO 1       36,0.508     ,1.19      ,2.38      ,0.0556    ,          ,          ,          ,          ,  -7839690
 DSO 2       30,          ,          ,          ,          ,0.508     ,0.230     ,0.627     ,0.0167    ,  -7837072
 DSO 1       37,0.714     ,-1.98     ,3.57      ,0.0437    ,          ,          ,          ,          ,  -7829690
 DSO 2       31,          ,          ,          ,          ,0.429     ,0.290     ,0.508     ,0.0262    ,  -7827072
 DSO 1       38,0.714     ,0.00      ,3.97      ,0.0635    ,          ,          ,          ,          ,  -7819690
 DSO 2       32,          ,          ,          ,          ,0.647     ,0.310     ,0.825     ,0.0175    ,  -7817072
 DSO 1       39,1.000     ,1.19      ,3.57      ,0.0774    ,          ,          ,          ,          ,  -7809690
 DSO 2       33,          ,          ,          ,          ,0.567     ,0.825     ,0.627     ,0.0206    ,  -7807072
 DSO 1       40,0.841     ,-1.19     ,2.78      ,0.0913    ,          ,          ,          ,          ,  -7799690
 DSO 2       34,          ,          ,          ,          ,0.488     ,0.369     ,0.508     ,0.0190    ,  -7797072
 DSO 1       41,0.556     ,1.19      ,3.97      ,0.0833    ,          ,          ,          ,          ,  -7789690
 DSO 2       35,          ,          ,          ,          ,0.706     ,0.448     ,0.746     ,0.0290    ,  -7787072
 DSO 1       42,0.508     ,-2.98     ,5.56      ,0.0714    ,          ,          ,          ,          ,  -7779690
 DSO 2       36,          ,          ,          ,          ,0.647     ,0.409     ,0.766     ,0.0254    ,  -7777072
 DSO 1       43,0.444     ,-2.38     ,1.39      ,0.0694    ,          ,          ,          ,          ,  -7769690
 DSO 2       37,          ,          ,          ,          ,0.389     ,-0.028    ,0.468     ,0.0159    ,  -7767072
 DSO 1       44,0.698     ,-1.98     ,-0.99     ,0.0754    ,          ,          ,          ,          ,  -7759690
 DSO 2       38,          ,          ,          ,          ,0.131     ,0.052     ,0.349     ,0.0143    ,  -7757072
 DSO 1       45,0.635     ,-0.40     ,3.77      ,0.0595    ,          ,          ,          ,          ,  -7749690
 DSO 2       39,          ,          ,          ,          ,0.448     ,0.310     ,0.528     ,0.0210    ,  -7747072
 DSO 1       46,0.889     ,3.37      ,5.75      ,0.0734    ,          ,          ,          ,          ,  -7739690
 DSO 2       40,          ,          ,          ,          ,0.548     ,0.111     ,0.429     ,0.0107    ,  -7737072
 DSO 1       47,0.825     ,-0.20     ,2.98      ,0.1032    ,          ,          ,          ,          ,  -7729690
 DSO 2       41,          ,          ,          ,          ,0.647     ,0.548     ,0.885     ,0.0163    ,  -7727072
 DSO 1       48,0.905     ,2.58      ,4.17      ,0.0972    ,          ,          ,          ,          ,  -7719690
 DSO 2       42,          ,          ,          ,          ,0.667     ,0.468     ,0.567     ,0.0155    ,  -7717072
 DSO 1       49,0.778     ,2.38      ,0.40      ,0.0833    ,          ,          ,          ,          ,  -7709690
 DSO 2       43,          ,          ,          ,          ,0.508     ,0.607     ,0.647     ,0.0230    ,  -7707072
 DSO 1       50,0.492     ,0.20      ,3.97      ,0.0694    ,          ,          ,          ,          ,  -7699690
 DSO 2       44,          ,          ,          ,          ,0.567     ,0.389     ,0.825     ,0.0187    ,  -7697072
 DSO 1       51,0.810     ,-0.60     ,0.20      ,0.0655    ,          ,          ,          ,          ,  -7689690
 DSO 2       45,          ,          ,          ,          ,0.389     ,0.171     ,0.587     ,0.0190    ,  -7687072
 DSO 1       52,0.873     ,1.19      ,2.58      ,0.0655    ,          ,          ,          ,          ,  -7679690
 DSO 2       46,          ,          ,          ,          ,0.310     ,0.250     ,0.429     ,0.0167    ,  -7677072
 DSO 1       53,0.778     ,1.59      ,0.00      ,0.0615    ,          ,          ,          ,          ,  -7669690
 DSO 2       47,          ,          ,          ,          ,0.528     ,0.210     ,0.190     ,0.0198    ,  -7667072
 DSO 1       54,0.905     ,-0.99     ,3.97      ,0.0893    ,          ,          ,          ,          ,  -7659690
 DSO 2       48,          ,          ,          ,          ,0.409     ,0.091     ,0.528     ,0.0143    ,  -7657072
 DSO 1       55,0.937     ,0.20      ,1.59      ,0.0853    ,          ,          ,          ,          ,  -7649690
 DSO 2       49,          ,          ,          ,          ,0.925     ,0.746     ,0.806     ,0.0226    ,  -7647072
 DSO 1       56,0.683     ,0.40      ,0.40      ,0.1012    ,          ,          ,          ,          ,  -7639690
 DSO 2       50,          ,          ,          ,          ,0.786     ,1.004     ,0.607     ,0.0190    ,  -7637072
 DSO 1       57,0.810     ,0.40      ,0.00      ,0.0972    ,          ,          ,          ,          ,  -7629690
 DSO 2       51,          ,          ,          ,          ,0.667     ,0.746     ,0.726     ,0.0258    ,  -7627072
 DSO 1       58,0.429     ,-2.38     ,0.99      ,0.0734    ,          ,          ,          ,          ,  -7619690
 DSO 2       52,          ,          ,          ,          ,0.429     ,0.409     ,0.508     ,0.0254    ,  -7617072
 DSO 1       59,0.698     ,-0.79     ,2.78      ,0.0734    ,          ,          ,          ,          ,  -7609690
 DSO 2       53,          ,          ,          ,          ,0.389     ,0.012     ,0.369     ,0.0163    ,  -7607072
 DSO 1       60,0.730     ,0.99      ,1.39      ,0.0754    ,          ,          ,          ,          ,  -7599690
 DSO 2       54,          ,          ,          ,          ,0.091     ,0.171     ,0.290     ,0.0171    ,  -7597072
