               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,           
 DSO 2       50,          ,          ,          ,          ,0.020     ,-0.417    ,0.448     ,0.0159    ,   -7634817
 DSO 1       56,0.683     ,-0.99     ,2.18      ,0.0754    ,          ,          ,          ,          ,   -7633035
 DSO 2       51,          ,          ,          ,          ,-0.298    ,-0.179    ,0.329     ,0.0202    ,   -7624817
 DSO 1       57,0.714     ,-0.20     ,0.20      ,0.0714    ,          ,          ,          ,          ,   -7623035
 DSO 2       52,          ,          ,          ,          ,-0.060    ,-0.377    ,0.424     ,0.0198    ,   -7614817
 DSO 1       58,0.857     ,2.58      ,1.19      ,0.0734    ,          ,          ,          ,          ,   -7613035
 DSO 2       53,          ,          ,          ,          ,-0.198    ,-0.198    ,0.400     ,0.0147    ,   -7604817
 DSO 1       59,0.921     ,2.38      ,0.79      ,0.0675    ,          ,          ,          ,          ,   -7603035
 DSO 2       54,          ,          ,          ,          ,0.377     ,0.060     ,0.543     ,0.0270    ,   -7594817
 DSO 1       60,0.857     ,3.97      ,0.20      ,0.0754    ,          ,          ,          ,          ,   -7593035
 DSO 2       55,          ,          ,          ,          ,0.298     ,0.000     ,0.602     ,0.0171    ,   -7584817
 DSO 1       61,0.778     ,3.17      ,2.18      ,0.0714    ,          ,          ,          ,          ,   -7583035
 DSO 2       56,          ,          ,          ,          ,0.060     ,0.179     ,0.495     ,0.0159    ,   -7574817
 DSO 1       62,0.937     ,-1.79     ,0.20      ,0.0556    ,          ,          ,          ,          ,   -7573035
 DSO 2       57,          ,          ,          ,          ,0.298     ,0.357     ,0.531     ,0.0234    ,   -7564817
 DSO 1       63,0.762     ,-0.40     ,3.57      ,0.0754    ,          ,          ,          ,          ,   -7563035
 DSO 2       58,          ,          ,          ,          ,0.060     ,-0.337    ,0.352     ,0.0155    ,   -7554817
 DSO 1       64,0.762     ,-1.19     ,2.78      ,0.0714    ,          ,          ,          ,          ,   -7553035
 DSO 2       59,          ,          ,          ,          ,0.020     ,-0.476    ,0.317     ,0.0167    ,   -7544817
 DSO 1       65,0.492     ,0.79      ,2.78      ,0.0556    ,          ,          ,          ,          ,   -7543035
 DSO 2       60,          ,          ,          ,          ,0.119     ,-0.159    ,0.519     ,0.0163    ,   -7534817
 DSO 1       66,0.698     ,-1.98     ,3.77      ,0.0417    ,          ,          ,          ,          ,   -7533035
 DSO 2       61,          ,          ,          ,          ,0.099     ,-0.119    ,0.460     ,0.0258    ,   -7524817
 DSO 1       67,0.698     ,0.00      ,4.17      ,0.0635    ,          ,          ,          ,          ,   -7523035
 DSO 2       62,          ,          ,          ,          ,0.179     ,-0.139    ,0.650     ,0.0175    ,   -7514817
 DSO 1       68,0.984     ,0.99      ,3.57      ,0.0734    ,          ,          ,          ,          ,   -7513035
 DSO 2       63,          ,          ,          ,          ,0.159     ,0.437     ,0.531     ,0.0187    ,   -7504817
 DSO 1       69,0.810     ,-0.79     ,2.98      ,0.0913    ,          ,          ,          ,          ,   -7503035
 DSO 2       64,          ,          ,          ,          ,0.060     ,-0.079    ,0.483     ,0.0175    ,   -7494817
 DSO 1       70,0.508     ,1.19      ,3.77      ,0.0794    ,          ,          ,          ,          ,   -7493035
 DSO 2       65,          ,          ,          ,          ,0.298     ,0.060     ,0.590     ,0.0278    ,   -7484817
 DSO 1       71,0.492     ,-3.17     ,5.95      ,0.0675    ,          ,          ,          ,          ,   -7483035
 DSO 2       66,          ,          ,          ,          ,0.238     ,0.000     ,0.590     ,0.0234    ,   -7474817
 DSO 1       72,0.413     ,-2.38     ,1.79      ,0.0675    ,          ,          ,          ,          ,   -7473035
 DSO 2       67,          ,          ,          ,          ,-0.060    ,-0.456    ,0.424     ,0.0155    ,   -7464817
 DSO 1       73,0.683     ,-1.79     ,-0.79     ,0.0774    ,          ,          ,          ,          ,   -7463035
 DSO 2       68,          ,          ,          ,          ,-0.218    ,-0.337    ,0.376     ,0.0135    ,   -7454817
 DSO 1       74,0.603     ,-0.40     ,3.97      ,0.0615    ,          ,          ,          ,          ,   -7453035
 DSO 2       69,          ,          ,          ,          ,0.040     ,-0.139    ,0.460     ,0.0198    ,   -7444817
 DSO 1       75,0.873     ,3.17      ,5.95      ,0.0734    ,          ,          ,          ,          ,   -7443035
 DSO 2       70,          ,          ,          ,          ,0.159     ,-0.278    ,0.412     ,0.0095    ,   -7434817
 DSO 1       76,0.794     ,-0.40     ,3.17      ,0.1052    ,          ,          ,          ,          ,   -7433035
 DSO 2       71,          ,          ,          ,          ,0.238     ,0.060     ,0.686     ,0.0147    ,   -7424817
 DSO 1       77,0.857     ,2.58      ,4.37      ,0.0952    ,          ,          ,          ,          ,   -7423035
 DSO 2       72,          ,          ,          ,          ,0.298     ,0.020     ,0.483     ,0.0143    ,   -7414817
 DSO 1       78,0.746     ,2.18      ,0.40      ,0.0794    ,          ,          ,          ,          ,   -7413035
 DSO 2       73,          ,          ,          ,          ,0.099     ,0.159     ,0.531     ,0.0218    ,   -7404817
 DSO 1       79,0.460     ,0.00      ,4.37      ,0.0714    ,          ,          ,          ,          ,   -7403035
 DSO 2       74,          ,          ,          ,          ,0.198     ,0.020     ,0.626     ,0.0175    ,   -7394817
 DSO 1       80,0.778     ,-0.40     ,0.20      ,0.0675    ,          ,          ,          ,          ,   -7393035
 DSO 2       75,          ,          ,          ,          ,0.000     ,-0.218    ,0.519     ,0.0183    ,   -7384817
 DSO 1       81,0.857     ,0.99      ,2.78      ,0.0635    ,          ,          ,          ,          ,   -7383035
 DSO 2       76,          ,          ,          ,          ,-0.099    ,-0.159    ,0.400     ,0.0155    ,   -7374817
 DSO 1       82,0.746     ,1.39      ,0.40      ,0.0595    ,          ,          ,          ,          ,   -7373035
 DSO 2       77,          ,          ,          ,          ,0.159     ,-0.198    ,0.233     ,0.0187    ,   -7364817
 DSO 1       83,0.905     ,-0.99     ,4.56      ,0.0913    ,          ,          ,          ,          ,   -7363035
 DSO 2       78,          ,          ,          ,          ,0.099     ,-0.298    ,0.460     ,0.0139    ,   -7354817
 DSO 1       84,0.921     ,-0.40     ,1.98      ,0.0853    ,          ,          ,          ,          ,   -7353035
 DSO 2       79,          ,          ,          ,          ,0.496     ,0.298     ,0.638     ,0.0202    ,   -7344817
 DSO 1       85,0.667     ,0.40      ,1.19      ,0.0992    ,          ,          ,          ,          ,   -7343035
 DSO 2       80,          ,          ,          ,          ,0.357     ,0.536     ,0.531     ,0.0171    ,   -7334817
 DSO 1       86,0.810     ,0.40      ,0.00      ,0.0952    ,          ,          ,          ,          ,   -7333035
 DSO 2       81,          ,          ,          ,          ,0.258     ,0.298     ,0.590     ,0.0242    ,   -7324817
 DSO 1       87,0.413     ,-2.38     ,1.39      ,0.0694    ,          ,          ,          ,          ,   -7323035
 DSO 2       82,          ,          ,          ,          ,0.060     ,-0.020    ,0.460     ,0.0246    ,   -7314817
 DSO 1       88,0.683     ,-1.19     ,3.17      ,0.0734    ,          ,          ,          ,          ,   -7313035
 DSO 2       83,          ,          ,          ,          ,0.000     ,-0.417    ,0.352     ,0.0155    ,   -7304817
 DSO 1       89,0.714     ,0.79      ,1.39      ,0.0714    ,          ,          ,          ,          ,   -7303035
 DSO 2       84,          ,          ,          ,          ,-0.278    ,-0.258    ,0.317     ,0.0171    ,   -7294817
 DSO 1       90,0.619     ,-0.20     ,2.98      ,0.0575    ,          ,          ,          ,          ,   -7293035
 DSO 2       85,          ,          ,          ,          ,-0.278    ,-0.159    ,0.448     ,0.0171    ,   -7284817
 DSO 1       91,0.714     ,0.00      ,3.37      ,0.1071    ,          ,          ,          ,          ,   -7283035
 DSO 2       86,          ,          ,          ,          ,-0.119    ,-0.060    ,0.329     ,0.0163    ,   -7274817
 DSO 1       92,0.905     ,-1.19     ,-0.20     ,0.1171    ,          ,          ,          ,          ,   -7273035
 DSO 2       87,          ,          ,          ,          ,0.298     ,0.119     ,0.614     ,0.0206    ,   -7264817
 DSO 1       93,0.889     ,0.60      ,3.77      ,0.0933    ,          ,          ,          ,          ,   -7263035
 DSO 2       88,          ,          ,          ,          ,0.238     ,-0.159    ,0.531     ,0.0218    ,   -7254817
 DSO 1       94,0.508     ,1.79      ,0.99      ,0.0813    ,          ,          ,          ,          ,   -7253035
 DSO 2       89,          ,          ,          ,          ,0.258     ,0.159     ,0.626     ,0.0246    ,   -7244817
 DSO 1       95,0.730     ,1.39      ,1.98      ,0.0575    ,          ,          ,          ,          ,   -7243035
 DSO 2       90,          ,          ,          ,          ,0.099     ,0.357     ,0.650     ,0.0190    ,   -7234817
 DSO 1       96,0.762     ,-2.58     ,1.59      ,0.0833    ,          ,          ,          ,          ,   -7233035
 DSO 2       91,          ,          ,          ,          ,-0.099    ,-0.536    ,0.412     ,0.0155    ,   -7224817
 DSO 1       97,0.540     ,-1.19     ,3.17      ,0.0238    ,          ,          ,          ,          ,   -7223035
 DSO 2       92,          ,          ,          ,          ,0.020     ,-0.278    ,0.317     ,0.0155    ,   -7214817
 DSO 1       98,0.619     ,-1.39     ,-1.19     ,0.0615    ,          ,          ,          ,          ,   -7213035
 DSO 2       93,          ,          ,          ,          ,-0.258    ,-0.496    ,0.329     ,0.0175    ,   -7204817
 DSO 1       99,0.587     ,-1.19     ,3.77      ,0.0893    ,          ,          ,          ,          ,   -7203035
 DSO 2       94,          ,          ,          ,          ,0.000     ,-0.139    ,0.412     ,0.0167    ,   -7194817
 DSO 1      100,0.825     ,-1.98     ,1.39      ,0.0893    ,          ,          ,          ,          ,   -7193035
 DSO 2       95,          ,          ,          ,          ,0.238     ,0.198     ,0.531     ,0.0139    ,   -7184817
 DSO 1      101,0.667     ,-1.79     ,2.78      ,0.0714    ,          ,          ,          ,          ,   -7183035
 DSO 2       96,          ,          ,          ,          ,0.278     ,0.218     ,0.614     ,0.0190    ,   -7174817
 DSO 1      102,0.825     ,4.96      ,4.56      ,0.1012    ,          ,          ,          ,          ,   -7173035
 DSO 2       97,          ,          ,          ,          ,0.298     ,-0.040    ,0.519     ,0.0190    ,   -7164817
 DSO 1      103,0.857     ,0.60      ,4.76      ,0.1151    ,          ,          ,          ,          ,   -7163035
 DSO 2       98,          ,          ,          ,          ,0.238     ,-0.079    ,0.281     ,0.0151    ,   -7154817
 DSO 1      104,0.540     ,-3.17     ,2.58      ,0.0754    ,          ,          ,          ,          ,   -7153035
 DSO 2       99,          ,          ,          ,          ,0.179     ,0.238     ,0.710     ,0.0183    ,   -7144817
 DSO 1      105,0.492     ,-0.60     ,4.96      ,0.0437    ,          ,          ,          ,          ,   -7143035
 DSO 2      100,          ,          ,          ,          ,-0.397    ,-0.337    ,0.364     ,0.0159    ,   -7134817
 DSO 1      106,0.556     ,0.99      ,2.58      ,0.0794    ,          ,          ,          ,          ,   -7133035
 DSO 2      101,          ,          ,          ,          ,-0.159    ,-0.099    ,0.233     ,0.0119    ,   -7124817
 DSO 1      107,0.730     ,-0.79     ,4.96      ,0.0337    ,          ,          ,          ,          ,   -7123035
 DSO 2      102,          ,          ,          ,          ,0.139     ,-0.417    ,0.519     ,0.0242    ,   -7114817
 DSO 1      108,0.937     ,-1.39     ,3.37      ,0.0694    ,          ,          ,          ,          ,   -7113035
 DSO 2      103,          ,          ,          ,          ,-0.456    ,-0.337    ,0.460     ,0.0175    ,   -7104817
 DSO 1      109,0.794     ,-0.79     ,0.20      ,0.0575    ,          ,          ,          ,          ,   -7103035
 DSO 2      104,          ,          ,          ,          ,0.437     ,0.060     ,0.590     ,0.0190    ,   -7094817
 DSO 1      110,0.603     ,2.38      ,3.57      ,0.1052    ,          ,          ,          ,          ,   -7093035
 DSO 2      105,          ,          ,          ,          ,0.278     ,-0.079    ,0.531     ,0.0286    ,   -7084817
 DSO 1      111,0.873     ,1.98      ,2.58      ,0.0734    ,          ,          ,          ,          ,   -7083035
 DSO 2      106,          ,          ,          ,          ,0.337     ,0.060     ,0.531     ,0.0159    ,   -7074817
 DSO 1      112,0.778     ,-2.18     ,3.77      ,0.0655    ,          ,          ,          ,          ,   -7073035
 DSO 2      107,          ,          ,          ,          ,0.278     ,0.278     ,0.519     ,0.0210    ,   -7064817
 DSO 1      113,0.778     ,-0.99     ,3.37      ,0.0595    ,          ,          ,          ,          ,   -7063035
 DSO 2      108,          ,          ,          ,          ,0.060     ,-0.317    ,0.269     ,0.0194    ,   -7054817
 DSO 1      114,0.714     ,0.20      ,3.37      ,0.0873    ,          ,          ,          ,          ,   -7053035
 DSO 2      109,          ,          ,          ,          ,-0.198    ,-0.298    ,0.376     ,0.0155    ,   -7044817
 DSO 1      115,0.619     ,0.60      ,2.78      ,0.0694    ,          ,          ,          ,          ,   -7043035
 DSO 2      110,          ,          ,          ,          ,-0.079    ,0.099     ,0.436     ,0.0218    ,   -7034817
 DSO 1      116,0.905     ,-1.39     ,-0.60     ,0.1151    ,          ,          ,          ,          ,   -7033035
 DSO 2      111,          ,          ,          ,          ,-0.040    ,-0.317    ,0.483     ,0.0175    ,   -7024817
 DSO 1      117,0.778     ,-3.17     ,2.18      ,0.0615    ,          ,          ,          ,          ,   -7023035
 DSO 2      112,          ,          ,          ,          ,0.139     ,0.258     ,0.662     ,0.0159    ,   -7014817
 DSO 1      118,0.651     ,3.77      ,1.98      ,0.1270    ,          ,          ,          ,          ,   -7013035
 DSO 2      113,          ,          ,          ,          ,0.357     ,0.099     ,0.495     ,0.0210    ,   -7004817
 DSO 1      119,0.794     ,0.40      ,2.78      ,0.0853    ,          ,          ,          ,          ,   -7003035
 DSO 2      114,          ,          ,          ,          ,0.119     ,-0.179    ,0.579     ,0.0230    ,   -6994817
 DSO 1      120,0.746     ,-2.38     ,1.79      ,0.0476    ,          ,          ,          ,          ,   -6993035
 DSO 2      115,          ,          ,          ,          ,0.298     ,0.099     ,0.460     ,0.0206    ,   -6984817
 DSO 1      121,0.651     ,-3.57     ,1.39      ,0.0456    ,          ,          ,          ,          ,   -6983035
 DSO 2      116,          ,          ,          ,          ,-0.119    ,-0.496    ,0.281     ,0.0131    ,   -6974817
 DSO 1      122,0.635     ,-0.79     ,-0.79     ,0.0635    ,          ,          ,          ,          ,   -6973035
 DSO 2      117,          ,          ,          ,          ,-0.020    ,-0.179    ,0.245     ,0.0111    ,   -6964817
 DSO 1      123,0.794     ,-0.20     ,4.96      ,0.0575    ,          ,          ,          ,          ,   -6963035
 DSO 2      118,          ,          ,          ,          ,-0.179    ,-0.357    ,0.436     ,0.0155    ,   -6954817
 DSO 1      124,0.540     ,0.00      ,1.59      ,0.1032    ,          ,          ,          ,          ,   -6953035
 DSO 2      119,          ,          ,          ,          ,-0.040    ,-0.337    ,0.495     ,0.0099    ,   -6944817
 DSO 1      125,0.968     ,0.60      ,0.20      ,0.0496    ,          ,          ,          ,          ,   -6943035
 DSO 2      120,          ,          ,          ,          ,0.437     ,0.298     ,0.483     ,0.0171    ,   -6934817
 DSO 1      126,0.905     ,0.99      ,4.56      ,0.0734    ,          ,          ,          ,          ,   -6933035
 DSO 2      121,          ,          ,          ,          ,0.575     ,0.179     ,0.674     ,0.0218    ,   -6924817
 DSO 1      127,0.683     ,0.60      ,3.97      ,0.0833    ,          ,          ,          ,          ,   -6923035
 DSO 2      122,          ,          ,          ,          ,0.317     ,-0.040    ,0.674     ,0.0179    ,   -6914817
 DSO 1      128,0.825     ,0.99      ,2.78      ,0.0853    ,          ,          ,          ,          ,   -6913035
 DSO 2      123,          ,          ,          ,          ,0.476     ,0.179     ,0.733     ,0.0175    ,   -6904817
 DSO 1      129,0.667     ,-2.78     ,-2.78     ,0.0456    ,          ,          ,          ,          ,   -6903035
 DSO 2      124,          ,          ,          ,          ,-0.357    ,-0.595    ,0.436     ,0.0167    ,   -6894817
 DSO 1      130,0.508     ,0.20      ,-0.60     ,0.0575    ,          ,          ,          ,          ,   -6893035
 DSO 2      125,          ,          ,          ,          ,-0.020    ,-0.258    ,0.174     ,0.0131    ,   -6884817
 DSO 1      131,0.683     ,1.19      ,0.99      ,0.0298    ,          ,          ,          ,          ,   -6883035
 DSO 2      126,          ,          ,          ,          ,0.159     ,-0.159    ,0.602     ,0.0111    ,   -6874817
 DSO 1      132,0.556     ,2.18      ,-3.37     ,0.0496    ,          ,          ,          ,          ,   -6873035
 DSO 2      127,          ,          ,          ,          ,-0.079    ,-0.159    ,0.352     ,0.0143    ,   -6864817
