               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,           
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,  Timestamp
 DSO 1        0,0.587     ,-1.19     ,3.77      ,0.0893    ,          ,          ,          ,          ,   -8193035
 DSO 1        1,0.810     ,-1.79     ,1.39      ,0.0893    ,          ,          ,          ,          ,   -8183035
 DSO 1        2,0.698     ,-1.39     ,2.58      ,0.0714    ,          ,          ,          ,          ,   -8173035
 DSO 1        3,0.825     ,4.96      ,4.76      ,0.1032    ,          ,          ,          ,          ,   -8163035
 DSO 1        4,0.857     ,0.79      ,5.56      ,0.1171    ,          ,          ,          ,          ,   -8153035
 DSO 1        5,0.556     ,-2.98     ,2.78      ,0.0754    ,          ,          ,          ,          ,   -8143035
 DSO 2        0,          ,          ,          ,          ,0.159     ,0.238     ,0.710     ,0.0179    ,   -8134817
 DSO 1        6,0.492     ,-0.40     ,4.96      ,0.0456    ,          ,          ,          ,          ,   -8133035
 DSO 2        1,          ,          ,          ,          ,-0.397    ,-0.337    ,0.364     ,0.0155    ,   -8124817
 DSO 1        7,0.556     ,1.59      ,2.78      ,0.0813    ,          ,          ,          ,          ,   -8123035
 DSO 2        2,          ,          ,          ,          ,-0.119    ,-0.079    ,0.233     ,0.0131    ,   -8114817
 DSO 1        8,0.794     ,-0.40     ,5.36      ,0.0377    ,          ,          ,          ,          ,   -8113035
 DSO 2        3,          ,          ,          ,          ,0.179     ,-0.417    ,0.543     ,0.0238    ,   -8104817
 DSO 1        9,0.921     ,-0.99     ,3.37      ,0.0694    ,          ,          ,          ,          ,   -8103035
 DSO 2        4,          ,          ,          ,          ,-0.437    ,-0.377    ,0.483     ,0.0175    ,   -8094817
 DSO 1       10,0.810     ,-0.79     ,0.60      ,0.0595    ,          ,          ,          ,          ,   -8093035
 DSO 2        5,          ,          ,          ,          ,0.397     ,0.060     ,0.602     ,0.0206    ,   -8084817
 DSO 1       11,0.635     ,2.58      ,4.17      ,0.1052    ,          ,          ,          ,          ,   -8083035
 DSO 2        6,          ,          ,          ,          ,0.278     ,-0.079    ,0.519     ,0.0286    ,   -8074817
 DSO 1       12,0.873     ,1.98      ,2.38      ,0.0754    ,          ,          ,          ,          ,   -8073035
 DSO 2        7,          ,          ,          ,          ,0.317     ,0.079     ,0.519     ,0.0167    ,   -8064817
 DSO 1       13,0.794     ,-1.98     ,3.97      ,0.0694    ,          ,          ,          ,          ,   -8063035
 DSO 2        8,          ,          ,          ,          ,0.298     ,0.298     ,0.531     ,0.0222    ,   -8054817
 DSO 1       14,0.810     ,-0.79     ,3.57      ,0.0655    ,          ,          ,          ,          ,   -8053035
 DSO 2        9,          ,          ,          ,          ,0.000     ,-0.337    ,0.245     ,0.0187    ,   -8044817
 DSO 1       15,0.730     ,0.20      ,3.57      ,0.0893    ,          ,          ,          ,          ,   -8043035
 DSO 2       10,          ,          ,          ,          ,-0.179    ,-0.298    ,0.400     ,0.0159    ,   -8034817
 DSO 1       16,0.635     ,0.99      ,2.78      ,0.0714    ,          ,          ,          ,          ,   -8033035
 DSO 2       11,          ,          ,          ,          ,-0.099    ,0.099     ,0.436     ,0.0226    ,   -8024817
 DSO 1       17,0.921     ,-1.39     ,-0.40     ,0.1171    ,          ,          ,          ,          ,   -8023035
 DSO 2       12,          ,          ,          ,          ,-0.040    ,-0.337    ,0.483     ,0.0175    ,   -8014817
 DSO 1       18,0.762     ,-3.17     ,1.79      ,0.0615    ,          ,          ,          ,          ,   -8013035
 DSO 2       13,          ,          ,          ,          ,0.139     ,0.258     ,0.662     ,0.0167    ,   -8004817
 DSO 1       19,0.667     ,4.17      ,1.79      ,0.1250    ,          ,          ,          ,          ,   -8003035
 DSO 2       14,          ,          ,          ,          ,0.337     ,0.079     ,0.507     ,0.0214    ,   -7994817
 DSO 1       20,0.810     ,0.60      ,3.37      ,0.0853    ,          ,          ,          ,          ,   -7993035
 DSO 2       15,          ,          ,          ,          ,0.119     ,-0.159    ,0.590     ,0.0222    ,   -7984817
 DSO 1       21,0.778     ,-2.38     ,1.79      ,0.0456    ,          ,          ,          ,          ,   -7983035
 DSO 2       16,          ,          ,          ,          ,0.298     ,0.099     ,0.483     ,0.0206    ,   -7974817
 DSO 1       22,0.683     ,-3.57     ,1.39      ,0.0476    ,          ,          ,          ,          ,   -7973035
 DSO 2       17,          ,          ,          ,          ,-0.099    ,-0.476    ,0.281     ,0.0135    ,   -7964817
 DSO 1       23,0.635     ,-0.60     ,-0.79     ,0.0655    ,          ,          ,          ,          ,   -7963035
 DSO 2       18,          ,          ,          ,          ,-0.040    ,-0.198    ,0.245     ,0.0115    ,   -7954817
 DSO 1       24,0.841     ,0.40      ,5.36      ,0.0575    ,          ,          ,          ,          ,   -7953035
 DSO 2       19,          ,          ,          ,          ,-0.218    ,-0.377    ,0.448     ,0.0159    ,   -7944817
 DSO 1       25,0.524     ,0.20      ,1.79      ,0.1012    ,          ,          ,          ,          ,   -7943035
 DSO 2       20,          ,          ,          ,          ,-0.040    ,-0.357    ,0.507     ,0.0091    ,   -7934817
 DSO 1       26,1.000     ,0.99      ,0.00      ,0.0536    ,          ,          ,          ,          ,   -7933035
 DSO 2       21,          ,          ,          ,          ,0.456     ,0.317     ,0.519     ,0.0171    ,   -7924817
 DSO 1       27,0.921     ,1.59      ,4.96      ,0.0734    ,          ,          ,          ,          ,   -7923035
 DSO 2       22,          ,          ,          ,          ,0.556     ,0.198     ,0.662     ,0.0226    ,   -7914817
 DSO 1       28,0.714     ,0.40      ,4.17      ,0.0833    ,          ,          ,          ,          ,   -7913035
 DSO 2       23,          ,          ,          ,          ,0.337     ,-0.060    ,0.674     ,0.0179    ,   -7904817
 DSO 1       29,0.825     ,0.79      ,2.78      ,0.0853    ,          ,          ,          ,          ,   -7903035
 DSO 2       24,          ,          ,          ,          ,0.476     ,0.179     ,0.733     ,0.0171    ,   -7894817
 DSO 1       30,0.746     ,-2.58     ,4.76      ,0.0298    ,          ,          ,          ,          ,   -7893035
 DSO 2       25,          ,          ,          ,          ,-0.397    ,-0.595    ,0.448     ,0.0167    ,   -7884817
 DSO 1       31,0.619     ,-1.59     ,5.16      ,0.0298    ,          ,          ,          ,          ,   -7883035
 DSO 2       26,          ,          ,          ,          ,0.000     ,-0.278    ,0.186     ,0.0139    ,   -7874817
 DSO 1       32,0.778     ,-1.19     ,2.98      ,0.0655    ,          ,          ,          ,          ,   -7873035
 DSO 2       27,          ,          ,          ,          ,0.159     ,-0.179    ,0.602     ,0.0111    ,   -7864817
 DSO 1       33,0.778     ,-0.40     ,3.57      ,0.0218    ,          ,          ,          ,          ,   -7863035
 DSO 2       28,          ,          ,          ,          ,-0.020    ,-0.179    ,0.340     ,0.0151    ,   -7854817
 DSO 1       34,0.794     ,0.79      ,2.18      ,0.0813    ,          ,          ,          ,          ,   -7853035
 DSO 2       29,          ,          ,          ,          ,0.397     ,0.099     ,0.519     ,0.0218    ,   -7844817
 DSO 1       35,0.651     ,1.59      ,4.37      ,0.0893    ,          ,          ,          ,          ,   -7843035
 DSO 2       30,          ,          ,          ,          ,0.377     ,-0.099    ,0.579     ,0.0222    ,   -7834817
 DSO 1       36,1.048     ,2.78      ,5.75      ,0.0952    ,          ,          ,          ,          ,   -7833035
 DSO 2       31,          ,          ,          ,          ,-0.020    ,0.040     ,0.698     ,0.0190    ,   -7824817
 DSO 1       37,0.762     ,1.79      ,2.98      ,0.0675    ,          ,          ,          ,          ,   -7823035
 DSO 2       32,          ,          ,          ,          ,0.218     ,0.139     ,0.483     ,0.0183    ,   -7814817
 DSO 1       38,0.778     ,-3.17     ,2.98      ,0.0456    ,          ,          ,          ,          ,   -7813035
 DSO 2       33,          ,          ,          ,          ,-0.079    ,0.298     ,0.626     ,0.0202    ,   -7804817
 DSO 1       39,0.857     ,-0.60     ,1.59      ,0.0357    ,          ,          ,          ,          ,   -7803035
 DSO 2       34,          ,          ,          ,          ,-0.060    ,-0.159    ,0.400     ,0.0131    ,   -7794817
 DSO 1       40,0.667     ,-0.40     ,2.78      ,0.0516    ,          ,          ,          ,          ,   -7793035
 DSO 2       35,          ,          ,          ,          ,0.040     ,-0.298    ,0.483     ,0.0198    ,   -7784817
 DSO 1       41,0.810     ,1.39      ,1.59      ,0.0556    ,          ,          ,          ,          ,   -7783035
 DSO 2       36,          ,          ,          ,          ,-0.179    ,-0.516    ,0.448     ,0.0202    ,   -7774817
 DSO 1       42,0.635     ,-1.19     ,2.38      ,0.0536    ,          ,          ,          ,          ,   -7773035
 DSO 2       37,          ,          ,          ,          ,-0.119    ,-0.317    ,0.364     ,0.0151    ,   -7764817
 DSO 1       43,1.000     ,-1.39     ,4.56      ,0.0992    ,          ,          ,          ,          ,   -7763035
 DSO 2       38,          ,          ,          ,          ,-0.040    ,0.218     ,0.579     ,0.0163    ,   -7754817
 DSO 1       44,0.746     ,0.40      ,1.79      ,0.0754    ,          ,          ,          ,          ,   -7753035
 DSO 2       39,          ,          ,          ,          ,0.218     ,-0.218    ,0.829     ,0.0171    ,   -7744817
 DSO 1       45,0.762     ,2.58      ,3.57      ,0.0933    ,          ,          ,          ,          ,   -7743035
 DSO 2       40,          ,          ,          ,          ,-0.040    ,0.278     ,0.674     ,0.0206    ,   -7734817
 DSO 1       46,0.571     ,0.60      ,2.78      ,0.0516    ,          ,          ,          ,          ,   -7733035
 DSO 2       41,          ,          ,          ,          ,0.079     ,0.258     ,0.662     ,0.0230    ,   -7724817
 DSO 1       47,0.587     ,-1.19     ,3.17      ,0.0635    ,          ,          ,          ,          ,   -7723035
 DSO 2       42,          ,          ,          ,          ,-0.258    ,-0.556    ,0.317     ,0.0190    ,   -7714817
 DSO 1       48,0.556     ,0.99      ,4.17      ,0.0655    ,          ,          ,          ,          ,   -7713035
 DSO 2       43,          ,          ,          ,          ,-0.040    ,-0.159    ,0.519     ,0.0123    ,   -7704817
 DSO 1       49,0.508     ,-2.38     ,1.79      ,0.0337    ,          ,          ,          ,          ,   -7703035
 DSO 2       44,          ,          ,          ,          ,-0.119    ,-0.238    ,0.388     ,0.0167    ,   -7694817
 DSO 1       50,0.778     ,-2.58     ,4.76      ,0.0873    ,          ,          ,          ,          ,   -7693035
 DSO 2       45,          ,          ,          ,          ,0.040     ,-0.417    ,0.340     ,0.0218    ,   -7684817
 DSO 1       51,0.683     ,3.77      ,1.79      ,0.0933    ,          ,          ,          ,          ,   -7683035
 DSO 2       46,          ,          ,          ,          ,0.020     ,-0.179    ,0.686     ,0.0187    ,   -7674817
 DSO 1       52,0.937     ,0.20      ,3.97      ,0.1131    ,          ,          ,          ,          ,   -7673035
 DSO 2       47,          ,          ,          ,          ,0.238     ,-0.060    ,0.614     ,0.0135    ,   -7664817
 DSO 1       53,0.794     ,0.99      ,1.59      ,0.0575    ,          ,          ,          ,          ,   -7663035
 DSO 2       48,          ,          ,          ,          ,0.218     ,0.139     ,0.579     ,0.0187    ,   -7654817
 DSO 1       54,0.794     ,0.79      ,1.79      ,0.0694    ,          ,          ,          ,          ,   -7653035
 DSO 2       49,          ,          ,          ,          ,0.397     ,0.159     ,0.567     ,0.0238    ,   -7644817
 DSO 1       55,0.524     ,0.79      ,4.56      ,0.0476    ,          ,          ,          ,          ,   -7643035
