               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,           
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,  Timestamp
 DSO 1        0,0.889     ,-2.38     ,0.00      ,0.0317    ,          ,          ,          ,          ,   -8196763
 DSO 1        1,0.603     ,-1.98     ,0.20      ,0.0437    ,          ,          ,          ,          ,   -8186763
 DSO 1        2,0.603     ,-3.37     ,-0.20     ,0.0337    ,          ,          ,          ,          ,   -8176763
 DSO 1        3,0.730     ,1.19      ,-3.37     ,0.0794    ,          ,          ,          ,          ,   -8166763
 DSO 1        4,0.508     ,-1.59     ,-0.60     ,0.0476    ,          ,          ,          ,          ,   -8156763
 DSO 1        5,0.683     ,-4.37     ,0.99      ,0.0655    ,          ,          ,          ,          ,   -8146763
 DSO 2        0,          ,          ,          ,          ,0.079     ,-0.377    ,0.376     ,0.0056    ,   -8138419
 DSO 1        6,0.508     ,-1.98     ,1.59      ,0.0238    ,          ,          ,          ,          ,   -8136763
 DSO 2        1,          ,          ,          ,          ,-0.278    ,-0.377    ,0.388     ,0.0131    ,   -8128419
 DSO 1        7,0.492     ,-1.98     ,3.17      ,0.0476    ,          ,          ,          ,          ,   -8126763
 DSO 2        2,          ,          ,          ,          ,0.020     ,-0.417    ,0.424     ,0.0179    ,   -8118419
 DSO 1        8,0.635     ,-1.79     ,2.98      ,0.0238    ,          ,          ,          ,          ,   -8116763
 DSO 2        3,          ,          ,          ,          ,-0.079    ,0.020     ,0.602     ,0.0131    ,   -8108419
 DSO 1        9,0.587     ,0.00      ,1.59      ,0.0476    ,          ,          ,          ,          ,   -8106763
 DSO 2        4,          ,          ,          ,          ,-0.179    ,-0.278    ,0.531     ,0.0202    ,   -8098419
 DSO 1       10,0.619     ,-1.19     ,-0.99     ,0.0417    ,          ,          ,          ,          ,   -8096763
 DSO 2        5,          ,          ,          ,          ,-0.278    ,-0.258    ,0.293     ,0.0111    ,   -8088419
 DSO 1       11,0.794     ,-3.37     ,-1.39     ,0.0556    ,          ,          ,          ,          ,   -8086763
 DSO 2        6,          ,          ,          ,          ,0.020     ,-0.278    ,0.150     ,0.0103    ,   -8078419
 DSO 1       12,0.651     ,4.37      ,-1.59     ,0.0417    ,          ,          ,          ,          ,   -8076763
 DSO 2        7,          ,          ,          ,          ,-0.238    ,-0.179    ,0.376     ,0.0095    ,   -8068419
 DSO 1       13,0.794     ,-3.77     ,0.00      ,0.0794    ,          ,          ,          ,          ,   -8066763
 DSO 2        8,          ,          ,          ,          ,-0.139    ,0.000     ,0.329     ,0.0008    ,   -8058419
 DSO 1       14,0.444     ,-3.37     ,3.37      ,0.0456    ,          ,          ,          ,          ,   -8056763
