               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,           
 DSO 2        9,          ,          ,          ,          ,-0.040    ,-0.159    ,0.436     ,0.0159    ,   -8048419
 DSO 1       15,0.508     ,3.97      ,1.59      ,0.0734    ,          ,          ,          ,          ,   -8046763
 DSO 2       10,          ,          ,          ,          ,-0.159    ,-0.218    ,0.221     ,0.0171    ,   -8038419
 DSO 1       16,0.540     ,-1.59     ,3.77      ,0.0754    ,          ,          ,          ,          ,   -8036763
 DSO 2       11,          ,          ,          ,          ,0.060     ,-0.357    ,0.400     ,0.0183    ,   -8028419
 DSO 1       17,0.508     ,-2.78     ,0.60      ,0.0575    ,          ,          ,          ,          ,   -8026763
 DSO 2       12,          ,          ,          ,          ,-0.159    ,-0.139    ,0.543     ,0.0183    ,   -8018419
 DSO 1       18,0.683     ,-2.38     ,-2.58     ,0.0437    ,          ,          ,          ,          ,   -8016763
 DSO 2       13,          ,          ,          ,          ,0.139     ,-0.258    ,0.364     ,0.0115    ,   -8008419
 DSO 1       19,0.524     ,0.40      ,-0.40     ,0.0595    ,          ,          ,          ,          ,   -8006763
 DSO 2       14,          ,          ,          ,          ,-0.079    ,-0.139    ,0.233     ,0.0091    ,   -7998419
 DSO 1       20,0.683     ,1.39      ,1.19      ,0.0317    ,          ,          ,          ,          ,   -7996763
 DSO 2       15,          ,          ,          ,          ,-0.317    ,-0.278    ,0.352     ,0.0111    ,   -7988419
 DSO 1       21,0.556     ,2.58      ,-3.17     ,0.0496    ,          ,          ,          ,          ,   -7986763
 DSO 2       16,          ,          ,          ,          ,-0.139    ,-0.198    ,0.198     ,0.0060    ,   -7978419
 DSO 1       22,0.635     ,-3.37     ,4.76      ,0.0417    ,          ,          ,          ,          ,   -7976763
 DSO 2       17,          ,          ,          ,          ,0.079     ,-0.198    ,0.198     ,0.0087    ,   -7968419
 DSO 1       23,0.524     ,-1.39     ,-0.79     ,0.0317    ,          ,          ,          ,          ,   -7966763
 DSO 2       18,          ,          ,          ,          ,-0.020    ,-0.357    ,0.471     ,0.0218    ,   -7958419
 DSO 1       24,0.587     ,-2.78     ,3.17      ,0.0238    ,          ,          ,          ,          ,   -7956763
 DSO 2       19,          ,          ,          ,          ,0.040     ,-0.060    ,0.281     ,0.0171    ,   -7948419
 DSO 1       25,0.651     ,-2.18     ,0.79      ,0.0159    ,          ,          ,          ,          ,   -7946763
 DSO 2       20,          ,          ,          ,          ,0.000     ,-0.159    ,0.460     ,0.0202    ,   -7938419
 DSO 1       26,0.651     ,-0.40     ,0.20      ,0.0536    ,          ,          ,          ,          ,   -7936763
 DSO 2       21,          ,          ,          ,          ,0.020     ,-0.159    ,0.340     ,0.0163    ,   -7928419
 DSO 1       27,0.698     ,-2.78     ,0.99      ,0.0258    ,          ,          ,          ,          ,   -7926763
 DSO 2       22,          ,          ,          ,          ,0.079     ,-0.476    ,0.281     ,0.0099    ,   -7918419
 DSO 1       28,0.746     ,-0.99     ,0.79      ,0.0536    ,          ,          ,          ,          ,   -7916763
 DSO 2       23,          ,          ,          ,          ,-0.099    ,-0.437    ,0.317     ,0.0079    ,   -7908419
 DSO 1       29,0.968     ,0.79      ,-1.98     ,0.0476    ,          ,          ,          ,          ,   -7906763
 DSO 2       24,          ,          ,          ,          ,-0.139    ,-0.357    ,0.376     ,0.0087    ,   -7898419
 DSO 1       30,0.381     ,-4.56     ,3.57      ,0.0516    ,          ,          ,          ,          ,   -7896763
 DSO 2       25,          ,          ,          ,          ,0.040     ,-0.337    ,0.221     ,0.0111    ,   -7888419
 DSO 1       31,0.460     ,0.99      ,1.59      ,0.0437    ,          ,          ,          ,          ,   -7886763
 DSO 2       26,          ,          ,          ,          ,-0.040    ,-0.278    ,0.352     ,0.0187    ,   -7878419
 DSO 1       32,0.444     ,1.98      ,4.37      ,0.0437    ,          ,          ,          ,          ,   -7876763
 DSO 2       27,          ,          ,          ,          ,-0.099    ,-0.179    ,0.614     ,0.0159    ,   -7868419
 DSO 1       33,0.698     ,-4.56     ,3.17      ,0.0218    ,          ,          ,          ,          ,   -7866763
 DSO 2       28,          ,          ,          ,          ,-0.278    ,-0.119    ,0.364     ,0.0198    ,   -7858419
 DSO 1       34,0.524     ,-2.18     ,-0.60     ,0.0496    ,          ,          ,          ,          ,   -7856763
 DSO 2       29,          ,          ,          ,          ,-0.159    ,-0.119    ,0.293     ,0.0214    ,   -7848419
 DSO 1       35,0.667     ,3.37      ,-2.98     ,0.0615    ,          ,          ,          ,          ,   -7846763
 DSO 2       30,          ,          ,          ,          ,0.139     ,0.000     ,0.210     ,0.0095    ,   -7838419
 DSO 1       36,0.683     ,-1.19     ,-0.60     ,0.0833    ,          ,          ,          ,          ,   -7836763
 DSO 2       31,          ,          ,          ,          ,-0.139    ,-0.298    ,0.376     ,0.0075    ,   -7828419
 DSO 1       37,0.587     ,0.20      ,0.99      ,0.0595    ,          ,          ,          ,          ,   -7826763
 DSO 2       32,          ,          ,          ,          ,0.000     ,-0.298    ,0.471     ,0.0099    ,   -7818419
 DSO 1       38,0.556     ,-2.58     ,1.39      ,0.0456    ,          ,          ,          ,          ,   -7816763
 DSO 2       33,          ,          ,          ,          ,0.079     ,-0.020    ,0.221     ,0.0218    ,   -7808419
 DSO 1       39,0.698     ,-3.57     ,1.59      ,0.0298    ,          ,          ,          ,          ,   -7806763
 DSO 2       34,          ,          ,          ,          ,0.139     ,-0.536    ,0.340     ,0.0159    ,   -7798419
 DSO 1       40,0.444     ,-2.78     ,3.17      ,0.0496    ,          ,          ,          ,          ,   -7796763
 DSO 2       35,          ,          ,          ,          ,-0.278    ,-0.377    ,0.507     ,0.0171    ,   -7788419
 DSO 1       41,0.603     ,-0.20     ,1.59      ,0.0476    ,          ,          ,          ,          ,   -7786763
 DSO 2       36,          ,          ,          ,          ,-0.040    ,-0.278    ,0.460     ,0.0119    ,   -7778419
 DSO 1       42,0.889     ,0.79      ,-1.39     ,0.0258    ,          ,          ,          ,          ,   -7776763
 DSO 2       37,          ,          ,          ,          ,0.139     ,-0.258    ,0.174     ,0.0155    ,   -7768419
 DSO 1       43,0.746     ,-0.20     ,0.20      ,0.0575    ,          ,          ,          ,          ,   -7766763
 DSO 2       38,          ,          ,          ,          ,-0.139    ,0.020     ,0.114     ,0.0079    ,   -7758419
 DSO 1       44,0.667     ,0.99      ,0.00      ,0.0456    ,          ,          ,          ,          ,   -7756763
 DSO 2       39,          ,          ,          ,          ,-0.496    ,-0.079    ,0.340     ,0.0135    ,   -7748419
 DSO 1       45,0.444     ,0.00      ,-2.58     ,0.0437    ,          ,          ,          ,          ,   -7746763
 DSO 2       40,          ,          ,          ,          ,0.020     ,-0.119    ,0.317     ,0.0091    ,   -7738419
 DSO 1       46,0.556     ,-2.98     ,1.98      ,0.0258    ,          ,          ,          ,          ,   -7736763
 DSO 2       41,          ,          ,          ,          ,0.119     ,-0.060    ,0.305     ,0.0183    ,   -7728419
 DSO 1       47,0.413     ,-2.18     ,0.20      ,0.0536    ,          ,          ,          ,          ,   -7726763
 DSO 2       42,          ,          ,          ,          ,-0.119    ,0.079     ,0.388     ,0.0171    ,   -7718419
 DSO 1       48,0.841     ,-3.37     ,2.38      ,0.0615    ,          ,          ,          ,          ,   -7716763
 DSO 2       43,          ,          ,          ,          ,-0.040    ,-0.179    ,0.424     ,0.0083    ,   -7708419
 DSO 1       49,0.683     ,0.00      ,3.77      ,0.0397    ,          ,          ,          ,          ,   -7706763
 DSO 2       44,          ,          ,          ,          ,-0.119    ,-0.357    ,0.543     ,0.0198    ,   -7698419
 DSO 1       50,0.825     ,0.99      ,-1.59     ,0.0575    ,          ,          ,          ,          ,   -7696763
 DSO 2       45,          ,          ,          ,          ,-0.060    ,-0.298    ,0.448     ,0.0190    ,   -7688419
 DSO 1       51,0.540     ,-1.39     ,1.79      ,0.0357    ,          ,          ,          ,          ,   -7686763
 DSO 2       46,          ,          ,          ,          ,-0.377    ,-0.020    ,0.233     ,0.0143    ,   -7678419
 DSO 1       52,0.492     ,-0.20     ,-0.99     ,0.0734    ,          ,          ,          ,          ,   -7676763
 DSO 2       47,          ,          ,          ,          ,-0.278    ,-0.278    ,0.245     ,0.0143    ,   -7668419
 DSO 1       53,0.794     ,2.18      ,-0.40     ,0.0655    ,          ,          ,          ,          ,   -7666763
 DSO 2       48,          ,          ,          ,          ,-0.198    ,-0.337    ,0.293     ,0.0052    ,   -7658419
 DSO 1       54,0.111     ,-1.59     ,-3.57     ,0.0615    ,          ,          ,          ,          ,   -7656763
 DSO 2       49,          ,          ,          ,          ,0.020     ,-0.258    ,0.233     ,0.0147    ,   -7648419
 DSO 1       55,0.524     ,-0.99     ,1.59      ,0.0536    ,          ,          ,          ,          ,   -7646763
 DSO 2       50,          ,          ,          ,          ,-0.060    ,-0.119    ,0.460     ,0.0075    ,   -7638419
 DSO 1       56,0.540     ,-5.16     ,1.39      ,0.0456    ,          ,          ,          ,          ,   -7636763
 DSO 2       51,          ,          ,          ,          ,0.159     ,-0.020    ,0.352     ,0.0151    ,   -7628419
 DSO 1       57,0.619     ,2.18      ,1.59      ,0.0456    ,          ,          ,          ,          ,   -7626763
 DSO 2       52,          ,          ,          ,          ,-0.060    ,-0.417    ,0.293     ,0.0175    ,   -7618419
 DSO 1       58,0.444     ,0.99      ,-0.79     ,0.0714    ,          ,          ,          ,          ,   -7616763
 DSO 2       53,          ,          ,          ,          ,0.099     ,-0.198    ,0.293     ,0.0163    ,   -7608419
 DSO 1       59,0.730     ,-0.60     ,0.99      ,0.0536    ,          ,          ,          ,          ,   -7606763
 DSO 2       54,          ,          ,          ,          ,-0.079    ,-0.099    ,0.519     ,0.0147    ,   -7598419
 DSO 1       60,0.571     ,-0.99     ,-1.98     ,0.0556    ,          ,          ,          ,          ,   -7596763
 DSO 2       55,          ,          ,          ,          ,-0.179    ,-0.317    ,0.340     ,0.0079    ,   -7588419
 DSO 1       61,0.524     ,0.99      ,-0.79     ,0.0734    ,          ,          ,          ,          ,   -7586763
 DSO 2       56,          ,          ,          ,          ,0.020     ,-0.218    ,0.293     ,0.0131    ,   -7578419
 DSO 1       62,0.603     ,-0.40     ,-1.19     ,0.0754    ,          ,          ,          ,          ,   -7576763
 DSO 2       57,          ,          ,          ,          ,0.139     ,-0.040    ,0.293     ,0.0163    ,   -7568419
 DSO 1       63,0.460     ,-3.17     ,4.56      ,0.0734    ,          ,          ,          ,          ,   -7566763
 DSO 2       58,          ,          ,          ,          ,0.159     ,0.079     ,0.412     ,0.0131    ,   -7558419
 DSO 1       64,0.619     ,-4.96     ,0.40      ,0.0417    ,          ,          ,          ,          ,   -7556763
 DSO 2       59,          ,          ,          ,          ,0.079     ,-0.377    ,0.448     ,0.0083    ,   -7548419
 DSO 1       65,0.587     ,-0.40     ,3.97      ,0.0635    ,          ,          ,          ,          ,   -7546763
 DSO 2       60,          ,          ,          ,          ,0.238     ,-0.397    ,0.293     ,0.0103    ,   -7538419
 DSO 1       66,0.476     ,-0.79     ,2.78      ,0.0437    ,          ,          ,          ,          ,   -7536763
 DSO 2       61,          ,          ,          ,          ,-0.357    ,-0.218    ,0.388     ,0.0226    ,   -7528419
 DSO 1       67,0.476     ,-2.38     ,-1.39     ,0.0714    ,          ,          ,          ,          ,   -7526763
 DSO 2       62,          ,          ,          ,          ,-0.099    ,-0.298    ,0.352     ,0.0238    ,   -7518419
 DSO 1       68,0.698     ,0.20      ,-0.79     ,0.0655    ,          ,          ,          ,          ,   -7516763
 DSO 2       63,          ,          ,          ,          ,0.079     ,-0.397    ,0.376     ,0.0071    ,   -7508419
 DSO 1       69,0.762     ,-1.39     ,-1.79     ,0.0456    ,          ,          ,          ,          ,   -7506763
 DSO 2       64,          ,          ,          ,          ,0.079     ,-0.238    ,0.436     ,0.0119    ,   -7498419
 DSO 1       70,0.714     ,-1.19     ,-2.98     ,0.0635    ,          ,          ,          ,          ,   -7496763
 DSO 2       65,          ,          ,          ,          ,-0.139    ,-0.119    ,0.150     ,0.0151    ,   -7488419
 DSO 1       71,0.460     ,-0.99     ,0.99      ,0.0536    ,          ,          ,          ,          ,   -7486763
 DSO 2       66,          ,          ,          ,          ,-0.278    ,-0.437    ,0.317     ,0.0155    ,   -7478419
 DSO 1       72,0.571     ,-4.76     ,1.19      ,0.0556    ,          ,          ,          ,          ,   -7476763
 DSO 2       67,          ,          ,          ,          ,-0.218    ,-0.575    ,0.424     ,0.0143    ,   -7468419
 DSO 1       73,0.698     ,-0.20     ,3.57      ,0.0734    ,          ,          ,          ,          ,   -7466763
 DSO 2       68,          ,          ,          ,          ,-0.496    ,-0.060    ,0.352     ,0.0167    ,   -7458419
 DSO 1       74,0.587     ,-1.59     ,1.39      ,0.0437    ,          ,          ,          ,          ,   -7456763
 DSO 2       69,          ,          ,          ,          ,0.179     ,-0.040    ,0.305     ,0.0218    ,   -7448419
 DSO 1       75,0.524     ,0.99      ,-0.99     ,0.0357    ,          ,          ,          ,          ,   -7446763
 DSO 2       70,          ,          ,          ,          ,-0.218    ,-0.377    ,0.424     ,0.0143    ,   -7438419
 DSO 1       76,0.651     ,-3.17     ,-2.38     ,0.0456    ,          ,          ,          ,          ,   -7436763
 DSO 2       71,          ,          ,          ,          ,-0.238    ,-0.040    ,0.364     ,0.0127    ,   -7428419
 DSO 1       77,0.714     ,0.99      ,1.39      ,0.0694    ,          ,          ,          ,          ,   -7426763
 DSO 2       72,          ,          ,          ,          ,-0.317    ,-0.536    ,0.186     ,0.0079    ,   -7418419
 DSO 1       78,0.730     ,1.59      ,-4.76     ,0.0655    ,          ,          ,          ,          ,   -7416763
 DSO 2       73,          ,          ,          ,          ,0.060     ,0.020     ,0.376     ,0.0135    ,   -7408419
 DSO 1       79,0.524     ,-0.20     ,0.20      ,0.0536    ,          ,          ,          ,          ,   -7406763
 DSO 2       74,          ,          ,          ,          ,-0.198    ,-0.317    ,0.412     ,0.0135    ,   -7398419
 DSO 1       80,0.556     ,-4.96     ,1.19      ,0.0595    ,          ,          ,          ,          ,   -7396763
 DSO 2       75,          ,          ,          ,          ,-0.079    ,-0.298    ,0.638     ,0.0119    ,   -7388419
 DSO 1       81,0.492     ,0.00      ,-0.99     ,0.0278    ,          ,          ,          ,          ,   -7386763
 DSO 2       76,          ,          ,          ,          ,-0.417    ,-0.377    ,0.245     ,0.0167    ,   -7378419
 DSO 1       82,0.476     ,-1.59     ,0.20      ,0.0456    ,          ,          ,          ,          ,   -7376763
 DSO 2       77,          ,          ,          ,          ,0.040     ,-0.278    ,0.614     ,0.0198    ,   -7368419
 DSO 1       83,0.651     ,-3.37     ,-2.78     ,0.0536    ,          ,          ,          ,          ,   -7366763
 DSO 2       78,          ,          ,          ,          ,0.298     ,-0.020    ,0.317     ,0.0143    ,   -7358419
 DSO 1       84,0.651     ,-0.60     ,-3.57     ,0.0635    ,          ,          ,          ,          ,   -7356763
 DSO 2       79,          ,          ,          ,          ,-0.218    ,-0.377    ,0.281     ,0.0087    ,   -7348419
 DSO 1       85,0.540     ,-1.79     ,1.19      ,0.0456    ,          ,          ,          ,          ,   -7346763
 DSO 2       80,          ,          ,          ,          ,-0.298    ,-0.139    ,0.138     ,0.0040    ,   -7338419
 DSO 1       86,0.714     ,-0.40     ,-2.18     ,0.0575    ,          ,          ,          ,          ,   -7336763
 DSO 2       81,          ,          ,          ,          ,-0.099    ,-0.536    ,0.210     ,0.0083    ,   -7328419
 DSO 1       87,0.587     ,-1.39     ,-0.60     ,0.0536    ,          ,          ,          ,          ,   -7326763
 DSO 2       82,          ,          ,          ,          ,-0.040    ,-0.278    ,0.460     ,0.0135    ,   -7318419
 DSO 1       88,0.683     ,-2.78     ,0.20      ,0.0635    ,          ,          ,          ,          ,   -7316763
 DSO 2       83,          ,          ,          ,          ,0.020     ,0.000     ,0.448     ,0.0036    ,   -7308419
 DSO 1       89,0.571     ,-4.56     ,3.57      ,0.0357    ,          ,          ,          ,          ,   -7306763
 DSO 2       84,          ,          ,          ,          ,-0.159    ,-0.298    ,0.388     ,0.0159    ,   -7298419
 DSO 1       90,0.587     ,0.00      ,2.18      ,0.0417    ,          ,          ,          ,          ,   -7296763
 DSO 2       85,          ,          ,          ,          ,-0.317    ,-0.198    ,0.376     ,0.0230    ,   -7288419
 DSO 1       91,0.492     ,1.39      ,3.77      ,0.0496    ,          ,          ,          ,          ,   -7286763
 DSO 2       86,          ,          ,          ,          ,-0.119    ,-0.179    ,0.424     ,0.0163    ,   -7278419
 DSO 1       92,0.730     ,-2.98     ,-4.17     ,0.0675    ,          ,          ,          ,          ,   -7276763
 DSO 2       87,          ,          ,          ,          ,-0.218    ,-0.536    ,0.507     ,0.0171    ,   -7268419
 DSO 1       93,0.651     ,-2.78     ,-1.39     ,0.0615    ,          ,          ,          ,          ,   -7266763
 DSO 2       88,          ,          ,          ,          ,-0.298    ,-0.060    ,0.293     ,0.0107    ,   -7258419
 DSO 1       94,0.508     ,2.58      ,-2.18     ,0.0536    ,          ,          ,          ,          ,   -7256763
 DSO 2       89,          ,          ,          ,          ,-0.159    ,-0.238    ,0.293     ,0.0079    ,   -7248419
 DSO 1       95,0.714     ,-0.79     ,-2.58     ,0.0496    ,          ,          ,          ,          ,   -7246763
 DSO 2       90,          ,          ,          ,          ,-0.159    ,-0.119    ,0.329     ,0.0107    ,   -7238419
 DSO 1       96,0.635     ,0.40      ,-0.20     ,0.0853    ,          ,          ,          ,          ,   -7236763
 DSO 2       91,          ,          ,          ,          ,0.258     ,-0.238    ,0.424     ,0.0067    ,   -7228419
 DSO 1       97,0.571     ,-4.17     ,0.79      ,0.0357    ,          ,          ,          ,          ,   -7226763
 DSO 2       92,          ,          ,          ,          ,-0.079    ,-0.317    ,0.340     ,0.0131    ,   -7218419
 DSO 1       98,0.841     ,-0.40     ,0.79      ,0.0575    ,          ,          ,          ,          ,   -7216763
 DSO 2       93,          ,          ,          ,          ,-0.020    ,-0.218    ,0.507     ,0.0079    ,   -7208419
 DSO 1       99,0.905     ,-2.38     ,0.20      ,0.0377    ,          ,          ,          ,          ,   -7206763
 DSO 2       94,          ,          ,          ,          ,0.020     ,-0.159    ,0.364     ,0.0131    ,   -7198419
 DSO 1      100,0.587     ,-1.59     ,0.60      ,0.0456    ,          ,          ,          ,          ,   -7196763
 DSO 2       95,          ,          ,          ,          ,-0.060    ,-0.040    ,0.460     ,0.0127    ,   -7188419
 DSO 1      101,0.619     ,-3.37     ,0.00      ,0.0337    ,          ,          ,          ,          ,   -7186763
 DSO 2       96,          ,          ,          ,          ,-0.119    ,-0.298    ,0.031     ,0.0095    ,   -7178419
 DSO 1      102,0.746     ,1.19      ,-3.37     ,0.0833    ,          ,          ,          ,          ,   -7176763
 DSO 2       97,          ,          ,          ,          ,-0.278    ,-0.020    ,0.043     ,0.0127    ,   -7168419
 DSO 1      103,0.540     ,-1.79     ,-0.40     ,0.0476    ,          ,          ,          ,          ,   -7166763
 DSO 2       98,          ,          ,          ,          ,-0.317    ,-0.079    ,0.448     ,0.0115    ,   -7158419
 DSO 1      104,0.667     ,-4.17     ,1.19      ,0.0694    ,          ,          ,          ,          ,   -7156763
 DSO 2       99,          ,          ,          ,          ,0.079     ,-0.377    ,0.364     ,0.0056    ,   -7148419
 DSO 1      105,0.524     ,-1.98     ,1.79      ,0.0298    ,          ,          ,          ,          ,   -7146763
 DSO 2      100,          ,          ,          ,          ,-0.278    ,-0.417    ,0.364     ,0.0131    ,   -7138419
 DSO 1      106,0.508     ,-1.98     ,3.37      ,0.0516    ,          ,          ,          ,          ,   -7136763
 DSO 2      101,          ,          ,          ,          ,0.000     ,-0.417    ,0.424     ,0.0171    ,   -7128419
 DSO 1      107,0.619     ,-1.59     ,3.17      ,0.0258    ,          ,          ,          ,          ,   -7126763
 DSO 2      102,          ,          ,          ,          ,-0.119    ,-0.020    ,0.579     ,0.0131    ,   -7118419
 DSO 1      108,0.587     ,0.20      ,1.39      ,0.0516    ,          ,          ,          ,          ,   -7116763
 DSO 2      103,          ,          ,          ,          ,-0.179    ,-0.337    ,0.519     ,0.0202    ,   -7108419
 DSO 1      109,0.619     ,-0.99     ,-0.79     ,0.0456    ,          ,          ,          ,          ,   -7106763
 DSO 2      104,          ,          ,          ,          ,-0.317    ,-0.258    ,0.293     ,0.0115    ,   -7098419
 DSO 1      110,0.794     ,-3.37     ,-1.19     ,0.0575    ,          ,          ,          ,          ,   -7096763
 DSO 2      105,          ,          ,          ,          ,0.020     ,-0.278    ,0.150     ,0.0107    ,   -7088419
 DSO 1      111,0.667     ,4.37      ,-1.39     ,0.0437    ,          ,          ,          ,          ,   -7086763
 DSO 2      106,          ,          ,          ,          ,-0.218    ,-0.139    ,0.388     ,0.0099    ,   -7078419
 DSO 1      112,0.810     ,-3.57     ,0.40      ,0.0853    ,          ,          ,          ,          ,   -7076763
 DSO 2      107,          ,          ,          ,          ,-0.159    ,0.020     ,0.317     ,0.0004    ,   -7068419
 DSO 1      113,0.460     ,-3.17     ,3.57      ,0.0496    ,          ,          ,          ,          ,   -7066763
 DSO 2      108,          ,          ,          ,          ,-0.119    ,-0.218    ,0.436     ,0.0159    ,   -7058419
 DSO 1      114,0.524     ,3.97      ,1.79      ,0.0734    ,          ,          ,          ,          ,   -7056763
 DSO 2      109,          ,          ,          ,          ,-0.179    ,-0.238    ,0.245     ,0.0179    ,   -7048419
 DSO 1      115,0.540     ,-1.59     ,3.57      ,0.0794    ,          ,          ,          ,          ,   -7046763
 DSO 2      110,          ,          ,          ,          ,0.060     ,-0.377    ,0.412     ,0.0187    ,   -7038419
 DSO 1      116,0.508     ,-2.38     ,0.79      ,0.0615    ,          ,          ,          ,          ,   -7036763
 DSO 2      111,          ,          ,          ,          ,-0.179    ,-0.159    ,0.543     ,0.0190    ,   -7028419
 DSO 1      117,0.651     ,-2.18     ,-2.58     ,0.0456    ,          ,          ,          ,          ,   -7026763
 DSO 2      112,          ,          ,          ,          ,0.159     ,-0.278    ,0.352     ,0.0123    ,   -7018419
 DSO 1      118,0.508     ,0.40      ,-0.60     ,0.0575    ,          ,          ,          ,          ,   -7016763
 DSO 2      113,          ,          ,          ,          ,-0.040    ,-0.139    ,0.257     ,0.0095    ,   -7008419
 DSO 1      119,0.683     ,1.59      ,1.19      ,0.0258    ,          ,          ,          ,          ,   -7006763
 DSO 2      114,          ,          ,          ,          ,-0.317    ,-0.258    ,0.352     ,0.0123    ,   -6998419
 DSO 1      120,0.556     ,2.38      ,-3.37     ,0.0516    ,          ,          ,          ,          ,   -6996763
 DSO 2      115,          ,          ,          ,          ,-0.198    ,-0.179    ,0.198     ,0.0067    ,   -6988419
 DSO 1      121,0.651     ,-3.37     ,4.76      ,0.0417    ,          ,          ,          ,          ,   -6986763
 DSO 2      116,          ,          ,          ,          ,0.060     ,-0.218    ,0.198     ,0.0095    ,   -6978419
 DSO 1      122,0.508     ,-1.59     ,-0.99     ,0.0317    ,          ,          ,          ,          ,   -6976763
 DSO 2      117,          ,          ,          ,          ,0.000     ,-0.357    ,0.460     ,0.0218    ,   -6968419
 DSO 1      123,0.603     ,-2.78     ,2.98      ,0.0218    ,          ,          ,          ,          ,   -6966763
 DSO 2      118,          ,          ,          ,          ,0.000     ,-0.060    ,0.293     ,0.0167    ,   -6958419
 DSO 1      124,0.651     ,-2.18     ,0.60      ,0.0159    ,          ,          ,          ,          ,   -6956763
 DSO 2      119,          ,          ,          ,          ,-0.040    ,-0.159    ,0.448     ,0.0198    ,   -6948419
 DSO 1      125,0.651     ,-0.40     ,0.20      ,0.0575    ,          ,          ,          ,          ,   -6946763
 DSO 2      120,          ,          ,          ,          ,0.020     ,-0.179    ,0.340     ,0.0163    ,   -6938419
 DSO 1      126,0.698     ,-2.58     ,0.99      ,0.0278    ,          ,          ,          ,          ,   -6936763
 DSO 2      121,          ,          ,          ,          ,0.079     ,-0.476    ,0.293     ,0.0111    ,   -6928419
 DSO 1      127,0.746     ,-0.99     ,0.99      ,0.0516    ,          ,          ,          ,          ,   -6926763
 DSO 2      122,          ,          ,          ,          ,-0.099    ,-0.437    ,0.305     ,0.0083    ,   -6918419
 DSO 1      128,0.984     ,0.60      ,-1.98     ,0.0536    ,          ,          ,          ,          ,   -6916763
 DSO 2      123,          ,          ,          ,          ,-0.119    ,-0.417    ,0.376     ,0.0091    ,   -6908419
 DSO 1      129,0.365     ,-4.76     ,3.97      ,0.0516    ,          ,          ,          ,          ,   -6906763
 DSO 2      124,          ,          ,          ,          ,0.020     ,-0.377    ,0.221     ,0.0107    ,   -6898419
 DSO 1      130,0.444     ,0.99      ,0.99      ,0.0476    ,          ,          ,          ,          ,   -6896763
 DSO 2      125,          ,          ,          ,          ,-0.040    ,-0.298    ,0.364     ,0.0187    ,   -6888419
 DSO 1      131,0.444     ,2.18      ,4.56      ,0.0456    ,          ,          ,          ,          ,   -6886763
