               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Timestamp,
 DSO 1        0,7.14E-01,0,3.968,4.92E-02,          ,          ,          ,          ,0,
 DSO 1        1,9.84E-01,1.389,3.571,6.11E-02,          ,          ,          ,          ,10000,
 DSO 1        2,8.25E-01,-9.92E-01,2.976,7.50E-02,          ,          ,          ,          ,20000,
 DSO 1        3,5.40E-01,1.389,3.968,6.71E-02,          ,          ,          ,          ,30000,
 DSO 1        4,5.08E-01,-2.976,5.952,5.71E-02,          ,          ,          ,          ,40000,
 DSO 1        5,4.44E-01,-2.381,1.587,5.32E-02,          ,          ,          ,          ,50000,
 DSO 2        0,          ,          ,          ,          ,1.91E-01,9.13E-02,6.47E-01,1.94E-02,56742,
 DSO 1        6,7.14E-01,-2.183,-9.92E-01,6.31E-02,          ,          ,          ,          ,60000,
 DSO 2        1,          ,          ,          ,          ,9.13E-02,1.71E-01,1.91E-01,1.11E-02,66742,
 DSO 1        7,6.19E-01,0,3.571,4.52E-02,          ,          ,          ,          ,70000,
 DSO 2        2,          ,          ,          ,          ,3.89E-01,1.11E-01,1.19E-02,9.13E-03,76742,
 DSO 1        8,8.73E-01,3.373,5.952,5.71E-02,          ,          ,          ,          ,80000,
 DSO 2        3,          ,          ,          ,          ,1.11E-01,2.50E-01,3.49E-01,8.73E-03,86742,
 DSO 1        9,7.78E-01,-7.94E-01,2.976,8.89E-02,          ,          ,          ,          ,90000,
 DSO 2        4,          ,          ,          ,          ,1.71E-01,4.09E-01,2.90E-01,6.656n   ,96742,
 DSO 1       10,8.89E-01,2.183,4.167,7.90E-02,          ,          ,          ,          ,100000,
 DSO 2        5,          ,          ,          ,          ,3.49E-01,2.30E-01,4.48E-01,1.59E-02,106742,
 DSO 1       11,7.62E-01,2.183,3.97E-01,6.71E-02,          ,          ,          ,          ,110000,
 DSO 2        6,          ,          ,          ,          ,2.30E-01,1.71E-01,1.31E-01,1.67E-02,116742,
 DSO 1       12,4.92E-01,-1.98E-01,3.968,5.52E-02,          ,          ,          ,          ,120000,
 DSO 2        7,          ,          ,          ,          ,4.29E-01,-2.78E-02,4.29E-01,1.79E-02,126742,
 DSO 1       13,7.94E-01,-5.95E-01,1.98E-01,5.12E-02,          ,          ,          ,          ,130000,
 DSO 2        8,          ,          ,          ,          ,1.91E-01,2.50E-01,6.47E-01,1.79E-02,136742,
 DSO 1       14,8.89E-01,9.92E-01,2.381,5.12E-02,          ,          ,          ,          ,140000,
 DSO 2        9,          ,          ,          ,          ,5.68E-01,1.71E-01,2.90E-01,1.11E-02,146742,
 DSO 1       15,7.62E-01,1.786,1.98E-01,4.72E-02,          ,          ,          ,          ,150000,
 DSO 2       10,          ,          ,          ,          ,3.10E-01,2.50E-01,1.71E-01,7.94E-03,156742,
 DSO 1       16,9.05E-01,-9.92E-01,3.968,7.70E-02,          ,          ,          ,          ,160000,
 DSO 2       11,          ,          ,          ,          ,3.18E-02,9.13E-02,3.29E-01,9.92E-03,166742,
 DSO 1       17,9.37E-01,0,1.786,6.91E-02,          ,          ,          ,          ,170000,
 DSO 2       12,          ,          ,          ,          ,2.10E-01,1.71E-01,9.13E-02,5.56E-03,176742,
 DSO 1       18,6.83E-01,1.98E-01,7.94E-01,8.69E-02,          ,          ,          ,          ,180000,
 DSO 2       13,          ,          ,          ,          ,3.89E-01,1.51E-01,9.13E-02,8.73E-03,186742,
 DSO 1       19,8.25E-01,1.98E-01,-3.97E-01,8.29E-02,          ,          ,          ,          ,190000,
 DSO 2       14,          ,          ,          ,          ,3.69E-01,1.19E-02,4.68E-01,2.02E-02,196742,
 DSO 1       20,4.44E-01,-2.579,9.92E-01,5.71E-02,          ,          ,          ,          ,200000,
 DSO 2       15,          ,          ,          ,          ,4.09E-01,3.10E-01,2.30E-01,1.63E-02,206742,
 DSO 1       21,7.14E-01,-1.19,2.579,5.91E-02,          ,          ,          ,          ,210000,
 DSO 2       16,          ,          ,          ,          ,3.29E-01,2.30E-01,4.88E-01,1.87E-02,216742,
 DSO 1       22,7.14E-01,9.92E-01,1.389,5.91E-02,          ,          ,          ,          ,220000,
 DSO 2       17,          ,          ,          ,          ,4.09E-01,1.91E-01,3.29E-01,1.51E-02,226742,
 DSO 1       23,6.83E-01,0,2.778,4.72E-02,          ,          ,          ,          ,230000,
 DSO 2       18,          ,          ,          ,          ,4.48E-01,-6.75E-02,2.50E-01,1.03E-02,236742,
 DSO 1       24,7.30E-01,0,2.976,9.29E-02,          ,          ,          ,          ,240000,
 DSO 2       19,          ,          ,          ,          ,3.10E-01,-8.73E-02,2.90E-01,6.75E-03,246742,
 DSO 1       25,9.21E-01,-1.389,-3.97E-01,1.01E-01,          ,          ,          ,          ,250000,
 DSO 2       20,          ,          ,          ,          ,2.30E-01,1.19E-02,3.89E-01,7.54E-03,256742,
