               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,,
 DSO 1       26,8.73E-01,5.95E-01,3.373,8.29E-02,          ,          ,          ,          ,260000,
 DSO 2       21,          ,          ,          ,          ,3.89E-01,1.19E-02,9.13E-02,1.07E-02,266742,
 DSO 1       27,5.40E-01,1.786,9.92E-01,6.31E-02,          ,          ,          ,          ,270000,
 DSO 2       22,          ,          ,          ,          ,3.29E-01,1.11E-01,2.90E-01,1.79E-02,276742,
 DSO 1       28,7.62E-01,1.587,1.786,3.93E-02,          ,          ,          ,          ,280000,
 DSO 2       23,          ,          ,          ,          ,2.90E-01,1.71E-01,7.66E-01,1.59E-02,286742,
 DSO 1       29,7.62E-01,-2.579,1.19,6.71E-02,          ,          ,          ,          ,290000,
 DSO 2       24,          ,          ,          ,          ,1.51E-01,2.50E-01,3.69E-01,1.91E-02,296742,
 DSO 1       30,5.71E-01,-7.94E-01,2.976,7.54E-03,          ,          ,          ,          ,300000,
 DSO 2       25,          ,          ,          ,          ,1.91E-01,2.10E-01,2.30E-01,2.02E-02,306742,
 DSO 1       31,6.67E-01,-1.19,-1.19,4.92E-02,          ,          ,          ,          ,310000,
 DSO 2       26,          ,          ,          ,          ,5.08E-01,4.09E-01,7.14E-02,9.52E-03,316742,
 DSO 1       32,5.87E-01,-1.587,3.373,7.30E-02,          ,          ,          ,          ,320000,
 DSO 2       27,          ,          ,          ,          ,2.30E-01,7.14E-02,3.89E-01,6.35E-03,326742,
 DSO 1       33,8.10E-01,-2.183,1.19,7.30E-02,          ,          ,          ,          ,330000,
 DSO 2       28,          ,          ,          ,          ,3.89E-01,5.16E-02,5.68E-01,9.92E-03,336742,
 DSO 1       34,6.83E-01,-1.786,2.579,5.52E-02,          ,          ,          ,          ,340000,
 DSO 2       29,          ,          ,          ,          ,3.89E-01,3.49E-01,1.11E-01,2.14E-02,346742,
 DSO 1       35,8.25E-01,4.96,4.365,8.89E-02,          ,          ,          ,          ,350000,
 DSO 2       30,          ,          ,          ,          ,5.48E-01,-1.07E-01,2.90E-01,1.59E-02,356742,
 DSO 1       36,8.73E-01,3.97E-01,4.762,1.03E-01,          ,          ,          ,          ,360000,
 DSO 2       31,          ,          ,          ,          ,1.11E-01,1.19E-02,5.48E-01,1.71E-02,366742,
 DSO 1       37,5.40E-01,-3.175,2.381,6.11E-02,          ,          ,          ,          ,370000,
 DSO 2       32,          ,          ,          ,          ,3.49E-01,7.14E-02,5.28E-01,1.15E-02,376742,
 DSO 1       38,4.92E-01,-5.95E-01,4.563,3.33E-02,          ,          ,          ,          ,380000,
 DSO 2       33,          ,          ,          ,          ,5.08E-01,1.11E-01,-7.94E-03,1.55E-02,386742,
 DSO 1       39,5.56E-01,1.19,2.778,6.51E-02,          ,          ,          ,          ,390000,
 DSO 2       34,          ,          ,          ,          ,2.90E-01,4.09E-01,-6.75E-02,7.54E-03,396742,
 DSO 1       40,7.62E-01,-3.97E-01,4.96,2.34E-02,          ,          ,          ,          ,400000,
 DSO 2       35,          ,          ,          ,          ,-8.73E-02,3.10E-01,3.10E-01,1.19E-02,406742,
 DSO 1       41,9.37E-01,-7.94E-01,2.778,5.52E-02,          ,          ,          ,          ,410000,
 DSO 2       36,          ,          ,          ,          ,3.69E-01,2.50E-01,2.50E-01,9.52E-03,416742,
 DSO 1       42,8.10E-01,-5.95E-01,1.98E-01,4.52E-02,          ,          ,          ,          ,420000,
 DSO 2       37,          ,          ,          ,          ,4.88E-01,3.29E-01,3.10E-01,1.79E-02,426742,
 DSO 1       43,6.51E-01,2.579,3.373,8.89E-02,          ,          ,          ,          ,430000,
 DSO 2       38,          ,          ,          ,          ,3.10E-01,4.88E-01,4.09E-01,1.55E-02,436742,
 DSO 1       44,8.73E-01,1.984,1.984,5.91E-02,          ,          ,          ,          ,440000,
 DSO 2       39,          ,          ,          ,          ,3.49E-01,2.10E-01,4.29E-01,7.54E-03,446742,
 DSO 1       45,8.10E-01,-2.183,3.571,5.12E-02,          ,          ,          ,          ,450000,
 DSO 2       40,          ,          ,          ,          ,2.50E-01,3.18E-02,6.87E-01,1.87E-02,456742,
 DSO 1       46,8.10E-01,-9.92E-01,3.373,4.52E-02,          ,          ,          ,          ,460000,
 DSO 2       41,          ,          ,          ,          ,3.10E-01,3.18E-02,4.68E-01,1.94E-02,466742,
 DSO 1       47,7.30E-01,1.98E-01,3.373,7.10E-02,          ,          ,          ,          ,470000,
 DSO 2       42,          ,          ,          ,          ,3.18E-02,3.89E-01,1.31E-01,1.31E-02,476742,
 DSO 1       48,6.35E-01,5.95E-01,2.381,5.52E-02,          ,          ,          ,          ,480000,
 DSO 2       43,          ,          ,          ,          ,1.31E-01,1.51E-01,1.51E-01,1.39E-02,486742,
 DSO 1       49,9.37E-01,-1.389,-7.94E-01,1.03E-01,          ,          ,          ,          ,490000,
 DSO 2       44,          ,          ,          ,          ,1.91E-01,7.14E-02,2.70E-01,4.76E-03,496742,
 DSO 1       50,7.78E-01,-3.373,1.587,4.52E-02,          ,          ,          ,          ,500000,
 DSO 2       45,          ,          ,          ,          ,4.09E-01,1.71E-01,1.31E-01,1.51E-02,506742,
 DSO 1       51,6.83E-01,3.968,1.587,1.11E-01,          ,          ,          ,          ,510000,
 DSO 2       46,          ,          ,          ,          ,2.70E-01,2.30E-01,5.28E-01,7.14E-03,516742,
 DSO 1       52,8.25E-01,3.97E-01,2.976,7.10E-02,          ,          ,          ,          ,520000,
 DSO 2       47,          ,          ,          ,          ,5.68E-01,4.09E-01,3.10E-01,1.47E-02,526742,
 DSO 1       53,7.94E-01,-2.579,1.587,3.14E-02,          ,          ,          ,          ,530000,
 DSO 2       48,          ,          ,          ,          ,3.49E-01,1.19E-02,2.70E-01,1.67E-02,536742,
 DSO 1       54,6.98E-01,-3.571,9.92E-01,2.74E-02,          ,          ,          ,          ,540000,
 DSO 2       49,          ,          ,          ,          ,4.48E-01,1.91E-01,1.91E-01,1.63E-02,546742,
 DSO 1       55,6.35E-01,-9.92E-01,-1.389,5.12E-02,          ,          ,          ,          ,550000,
 DSO 2       50,          ,          ,          ,          ,2.70E-01,2.90E-01,6.47E-01,1.51E-02,556742,
 DSO 1       56,8.25E-01,1.98E-01,4.762,4.33E-02,          ,          ,          ,          ,560000,
 DSO 2       51,          ,          ,          ,          ,1.91E-01,1.31E-01,2.90E-01,7.94E-03,566742,
 DSO 1       57,5.56E-01,0,1.389,8.69E-02,          ,          ,          ,          ,570000,
 DSO 2       52,          ,          ,          ,          ,4.09E-01,1.91E-01,2.70E-01,1.31E-02,576742,
 DSO 1       58,1,7.94E-01,-1.98E-01,3.33E-02,          ,          ,          ,          ,580000,
 DSO 2       53,          ,          ,          ,          ,4.68E-01,4.09E-01,2.30E-01,1.63E-02,586742,
 DSO 1       59,9.37E-01,1.19,4.365,5.71E-02,          ,          ,          ,          ,590000,
 DSO 2       54,          ,          ,          ,          ,5.08E-01,4.88E-01,4.88E-01,1.31E-02,596742,
 DSO 1       60,6.98E-01,5.95E-01,3.373,6.71E-02,          ,          ,          ,          ,600000,
 DSO 2       55,          ,          ,          ,          ,4.68E-01,7.14E-02,4.88E-01,9.13E-03,606742,
 DSO 1       61,8.41E-01,9.92E-01,2.381,6.71E-02,          ,          ,          ,          ,610000,
 DSO 2       56,          ,          ,          ,          ,6.47E-01,5.16E-02,2.10E-01,1.07E-02,616742,
 DSO 1       62,8.10E-01,-2.579,4.563,1.75E-02,          ,          ,          ,          ,620000,
 DSO 2       57,          ,          ,          ,          ,1.19E-02,2.10E-01,4.09E-01,2.22E-02,626742,
 DSO 1       63,6.67E-01,-1.786,4.96,1.15E-02,          ,          ,          ,          ,630000,
 DSO 2       58,          ,          ,          ,          ,2.70E-01,7.14E-02,3.29E-01,2.34E-02,636742,
 DSO 1       64,8.41E-01,-1.19,2.976,5.32E-02,          ,          ,          ,          ,640000,
 DSO 2       59,          ,          ,          ,          ,4.68E-01,9.13E-02,3.49E-01,6.75E-03,646742,
 DSO 1       65,7.94E-01,-5.95E-01,3.175,9.52E-03,          ,          ,          ,          ,650000,
 DSO 2       60,          ,          ,          ,          ,4.68E-01,1.91E-01,4.48E-01,1.23E-02,656742,
 DSO 1       66,8.41E-01,9.92E-01,2.183,6.91E-02,          ,          ,          ,          ,660000,
 DSO 2       61,          ,          ,          ,          ,2.10E-01,3.69E-01,-2.78E-02,1.55E-02,666742,
 DSO 1       67,6.83E-01,1.19,3.968,7.70E-02,          ,          ,          ,          ,670000,
 DSO 2       62,          ,          ,          ,          ,9.13E-02,-4.76E-02,2.70E-01,1.51E-02,676742,
 DSO 1       68,1.079,3.175,5.556,8.49E-02,          ,          ,          ,          ,680000,
 DSO 2       63,          ,          ,          ,          ,1.91E-01,-1.27E-01,4.29E-01,1.39E-02,686742,
 DSO 1       69,7.94E-01,1.786,2.778,5.71E-02,          ,          ,          ,          ,690000,
 DSO 2       64,          ,          ,          ,          ,-1.27E-01,3.69E-01,3.49E-01,1.67E-02,696742,
 DSO 1       70,8.41E-01,-3.373,2.579,3.14E-02,          ,          ,          ,          ,700000,
 DSO 2       65,          ,          ,          ,          ,5.48E-01,3.89E-01,2.30E-01,2.26E-02,706742,
 DSO 1       71,8.73E-01,0,1.389,1.94E-02,          ,          ,          ,          ,710000,
 DSO 2       66,          ,          ,          ,          ,1.71E-01,5.16E-02,5.08E-01,1.43E-02,716742,
 DSO 1       72,6.98E-01,-3.97E-01,2.579,4.13E-02,          ,          ,          ,          ,720000,
 DSO 2       67,          ,          ,          ,          ,1.51E-01,4.09E-01,3.29E-01,1.23E-02,726742,
 DSO 1       73,8.41E-01,1.587,1.389,4.33E-02,          ,          ,          ,          ,730000,
 DSO 2       68,          ,          ,          ,          ,7.14E-02,-8.73E-02,3.18E-02,7.94E-03,736742,
 DSO 1       74,6.67E-01,-9.92E-01,1.984,4.13E-02,          ,          ,          ,          ,740000,
 DSO 2       69,          ,          ,          ,          ,4.48E-01,4.88E-01,3.89E-01,1.43E-02,746742,
 DSO 1       75,1.063,-1.19,4.563,8.10E-02,          ,          ,          ,          ,750000,
 DSO 2       70,          ,          ,          ,          ,1.71E-01,3.18E-02,4.48E-01,1.27E-02,756742,
 DSO 1       76,8.25E-01,3.97E-01,1.587,6.51E-02,          ,          ,          ,          ,760000,
 DSO 2       71,          ,          ,          ,          ,3.49E-01,1.91E-01,7.86E-01,1.23E-02,766742,
 DSO 1       77,7.94E-01,2.778,3.571,8.29E-02,          ,          ,          ,          ,770000,
 DSO 2       72,          ,          ,          ,          ,-2.78E-02,3.18E-02,1.91E-01,1.71E-02,776742,
 DSO 1       78,6.35E-01,3.97E-01,2.381,3.33E-02,          ,          ,          ,          ,780000,
 DSO 2       73,          ,          ,          ,          ,4.68E-01,1.31E-01,7.86E-01,1.94E-02,786742,
 DSO 1       79,6.19E-01,-9.92E-01,3.175,5.12E-02,          ,          ,          ,          ,790000,
 DSO 2       74,          ,          ,          ,          ,6.87E-01,3.69E-01,2.70E-01,1.43E-02,796742,
 DSO 1       80,5.87E-01,9.92E-01,4.167,5.12E-02,          ,          ,          ,          ,800000,
 DSO 2       75,          ,          ,          ,          ,2.30E-01,7.14E-02,2.10E-01,8.73E-03,806742,
 DSO 1       81,5.24E-01,-2.183,1.786,1.94E-02,          ,          ,          ,          ,810000,
 DSO 2       76,          ,          ,          ,          ,9.13E-02,2.90E-01,-4.76E-02,4.37E-03,816742,
 DSO 1       82,8.25E-01,-2.579,4.563,7.30E-02,          ,          ,          ,          ,820000,
 DSO 2       77,          ,          ,          ,          ,3.10E-01,-1.27E-01,9.13E-02,7.94E-03,826742,
 DSO 1       83,7.14E-01,3.968,1.786,7.70E-02,          ,          ,          ,          ,830000,
 DSO 2       78,          ,          ,          ,          ,3.49E-01,9.13E-02,4.88E-01,1.19E-02,836742,
 DSO 1       84,9.84E-01,1.98E-01,4.167,1.03E-01,          ,          ,          ,          ,840000,
 DSO 2       79,          ,          ,          ,          ,4.29E-01,3.89E-01,5.08E-01,2.78E-03,846742,
 DSO 1       85,8.25E-01,1.19,1.19,4.52E-02,          ,          ,          ,          ,850000,
 DSO 2       80,          ,          ,          ,          ,2.70E-01,1.51E-01,3.69E-01,1.59E-02,856742,
 DSO 1       86,8.41E-01,7.94E-01,1.984,5.71E-02,          ,          ,          ,          ,860000,
 DSO 2       81,          ,          ,          ,          ,5.16E-02,2.10E-01,3.69E-01,2.34E-02,866742,
 DSO 1       87,5.71E-01,9.92E-01,4.762,3.33E-02,          ,          ,          ,          ,870000,
 DSO 2       82,          ,          ,          ,          ,2.30E-01,2.10E-01,4.68E-01,1.63E-02,876742,
 DSO 1       88,7.14E-01,-5.95E-01,1.786,6.51E-02,          ,          ,          ,          ,880000,
 DSO 2       83,          ,          ,          ,          ,1.71E-01,-1.07E-01,6.07E-01,1.75E-02,886742,
 DSO 1       89,7.14E-01,-1.98E-01,1.98E-01,5.52E-02,          ,          ,          ,          ,890000,
 DSO 2       84,          ,          ,          ,          ,1.19E-02,3.89E-01,2.10E-01,9.92E-03,896742,
 DSO 1       90,9.05E-01,2.778,1.389,6.11E-02,          ,          ,          ,          ,900000,
 DSO 2       85,          ,          ,          ,          ,1.91E-01,1.91E-01,2.70E-01,8.33E-03,906742,
 DSO 1       91,9.68E-01,2.381,3.97E-01,5.52E-02,          ,          ,          ,          ,910000,
 DSO 2       86,          ,          ,          ,          ,1.91E-01,2.70E-01,3.10E-01,1.07E-02,916742,
 DSO 1       92,8.73E-01,3.968,1.98E-01,6.11E-02,          ,          ,          ,          ,920000,
 DSO 2       87,          ,          ,          ,          ,5.87E-01,2.10E-01,4.68E-01,6.75E-03,926742,
 DSO 1       93,7.94E-01,2.976,2.183,5.91E-02,          ,          ,          ,          ,930000,
 DSO 2       88,          ,          ,          ,          ,3.29E-01,9.13E-02,3.10E-01,1.23E-02,936742,
 DSO 1       94,1,-1.786,-1.98E-01,4.52E-02,          ,          ,          ,          ,940000,
 DSO 2       89,          ,          ,          ,          ,3.69E-01,2.30E-01,5.68E-01,7.14E-03,946742,
 DSO 1       95,7.94E-01,0,3.373,5.91E-02,          ,          ,          ,          ,950000,
 DSO 2       90,          ,          ,          ,          ,4.29E-01,2.30E-01,3.29E-01,1.27E-02,956742,
 DSO 1       96,8.25E-01,-9.92E-01,2.381,5.71E-02,          ,          ,          ,          ,960000,
 DSO 2       91,          ,          ,          ,          ,3.49E-01,3.49E-01,5.08E-01,1.27E-02,966742,
 DSO 1       97,5.40E-01,1.19,2.976,4.13E-02,          ,          ,          ,          ,970000,
 DSO 2       92,          ,          ,          ,          ,2.90E-01,1.31E-01,-2.06E-01,9.52E-03,976742,
 DSO 1       98,7.14E-01,-1.984,3.77,2.94E-02,          ,          ,          ,          ,980000,
 DSO 2       93,          ,          ,          ,          ,1.31E-01,4.29E-01,-1.87E-01,1.31E-02,986742,
 DSO 1       99,7.14E-01,1.98E-01,3.968,4.72E-02,          ,          ,          ,          ,990000,
 DSO 2       94,          ,          ,          ,          ,7.14E-02,3.49E-01,5.08E-01,1.07E-02,996742,
 DSO 1      100,1.016,9.92E-01,3.571,6.11E-02,          ,          ,          ,          ,1000000,
 DSO 2       95,          ,          ,          ,          ,4.68E-01,3.18E-02,3.69E-01,5.56E-03,1006742,
 DSO 1      101,8.41E-01,-9.92E-01,3.175,7.70E-02,          ,          ,          ,          ,1010000,
 DSO 2       96,          ,          ,          ,          ,9.13E-02,3.18E-02,3.69E-01,1.27E-02,1016742,
 DSO 1      102,5.71E-01,1.389,3.968,6.71E-02,          ,          ,          ,          ,1020000,
 DSO 2       97,          ,          ,          ,          ,3.89E-01,5.16E-02,4.29E-01,1.79E-02,1026742,
 DSO 1      103,5.40E-01,-2.778,5.754,5.71E-02,          ,          ,          ,          ,1030000,
 DSO 2       98,          ,          ,          ,          ,2.70E-01,3.89E-01,7.26E-01,1.19E-02,1036742,
 DSO 1      104,4.60E-01,-2.579,1.587,5.52E-02,          ,          ,          ,          ,1040000,
 DSO 2       99,          ,          ,          ,          ,1.91E-01,9.13E-02,6.27E-01,2.02E-02,1046742,
 DSO 1      105,7.30E-01,-1.984,-7.94E-01,6.31E-02,          ,          ,          ,          ,1050000,
 DSO 2      100,          ,          ,          ,          ,1.51E-01,2.50E-01,2.10E-01,1.07E-02,1056742,
 DSO 1      106,6.35E-01,-1.98E-01,3.968,4.92E-02,          ,          ,          ,          ,1060000,
 DSO 2      101,          ,          ,          ,          ,4.29E-01,1.51E-01,1.19E-02,1.11E-02,1066742,
 DSO 1      107,9.05E-01,3.373,5.952,5.91E-02,          ,          ,          ,          ,1070000,
 DSO 2      102,          ,          ,          ,          ,1.51E-01,2.50E-01,4.09E-01,9.52E-03,1076742,
 DSO 1      108,8.25E-01,-1.98E-01,2.976,9.09E-02,          ,          ,          ,          ,1080000,
 DSO 2      103,          ,          ,          ,          ,2.10E-01,4.09E-01,2.70E-01,2.38E-03,1086742,
 DSO 1      109,9.21E-01,2.579,3.968,8.29E-02,          ,          ,          ,          ,1090000,
 DSO 2      104,          ,          ,          ,          ,3.49E-01,2.70E-01,4.48E-01,1.59E-02,1096742,
 DSO 1      110,7.94E-01,2.579,7.94E-01,6.91E-02,          ,          ,          ,          ,1100000,
 DSO 2      105,          ,          ,          ,          ,2.10E-01,2.30E-01,1.51E-01,1.75E-02,1106742,
 DSO 1      111,5.24E-01,1.98E-01,3.373,5.52E-02,          ,          ,          ,          ,1110000,
 DSO 2      106,          ,          ,          ,          ,4.29E-01,1.19E-02,4.29E-01,1.91E-02,1116742,
 DSO 1      112,8.10E-01,-5.95E-01,5.95E-01,5.32E-02,          ,          ,          ,          ,1120000,
 DSO 2      107,          ,          ,          ,          ,1.91E-01,2.70E-01,6.47E-01,1.83E-02,1126742,
 DSO 1      113,8.89E-01,9.92E-01,2.381,5.12E-02,          ,          ,          ,          ,1130000,
 DSO 2      108,          ,          ,          ,          ,5.48E-01,1.71E-01,2.90E-01,1.19E-02,1136742,
 DSO 1      114,8.25E-01,1.587,3.97E-01,4.52E-02,          ,          ,          ,          ,1140000,
 DSO 2      109,          ,          ,          ,          ,3.29E-01,3.10E-01,1.71E-01,9.52E-03,1146742,
 DSO 1      115,9.37E-01,-9.92E-01,4.167,7.90E-02,          ,          ,          ,          ,1150000,
 DSO 2      110,          ,          ,          ,          ,3.18E-02,1.31E-01,3.49E-01,1.07E-02,1156742,
 DSO 1      116,9.52E-01,0,1.786,7.30E-02,          ,          ,          ,          ,1160000,
 DSO 2      111,          ,          ,          ,          ,2.30E-01,2.10E-01,1.11E-01,5.56E-03,1166742,
 DSO 1      117,6.98E-01,5.95E-01,9.92E-01,8.69E-02,          ,          ,          ,          ,1170000,
 DSO 2      112,          ,          ,          ,          ,4.09E-01,1.91E-01,9.13E-02,9.13E-03,1176742,
 DSO 1      118,8.41E-01,5.95E-01,-1.98E-01,8.29E-02,          ,          ,          ,          ,1180000,
 DSO 2      113,          ,          ,          ,          ,3.49E-01,7.14E-02,4.68E-01,2.26E-02,1186742,
 DSO 1      119,4.60E-01,-2.381,1.19,5.71E-02,          ,          ,          ,          ,1190000,
 DSO 2      114,          ,          ,          ,          ,4.09E-01,3.29E-01,2.10E-01,1.71E-02,1196742,
 DSO 1      120,7.30E-01,-9.92E-01,2.976,5.71E-02,          ,          ,          ,          ,1200000,
 DSO 2      115,          ,          ,          ,          ,3.69E-01,2.50E-01,5.08E-01,1.94E-02,1206742,
 DSO 1      121,7.46E-01,7.94E-01,1.587,6.11E-02,          ,          ,          ,          ,1210000,
 DSO 2      116,          ,          ,          ,          ,4.09E-01,1.91E-01,3.10E-01,1.67E-02,1216742,
 DSO 1      122,6.83E-01,0,2.778,4.72E-02,          ,          ,          ,          ,1220000,
 DSO 2      117,          ,          ,          ,          ,4.48E-01,-4.76E-02,2.50E-01,1.15E-02,1226742,
 DSO 1      123,7.62E-01,0,3.373,9.29E-02,          ,          ,          ,          ,1230000,
 DSO 2      118,          ,          ,          ,          ,3.10E-01,-4.76E-02,2.90E-01,8.33E-03,1236742,
 DSO 1      124,9.37E-01,-1.389,-3.97E-01,1.01E-01,          ,          ,          ,          ,1240000,
 DSO 2      119,          ,          ,          ,          ,2.70E-01,3.18E-02,3.69E-01,8.33E-03,1246742,
 DSO 1      125,8.89E-01,7.94E-01,3.571,8.10E-02,          ,          ,          ,          ,1250000,
 DSO 2      120,          ,          ,          ,          ,3.89E-01,5.16E-02,1.71E-01,1.07E-02,1256742,
 DSO 1      126,5.71E-01,1.984,9.92E-01,6.91E-02,          ,          ,          ,          ,1260000,
 DSO 2      121,          ,          ,          ,          ,3.69E-01,1.71E-01,3.10E-01,1.94E-02,1266742,
 DSO 1      127,7.62E-01,1.587,2.183,4.33E-02,          ,          ,          ,          ,1270000,
 DSO 2      122,          ,          ,          ,          ,2.90E-01,2.30E-01,7.86E-01,1.59E-02,1276742,
 DSO 1      128,7.94E-01,-2.381,1.389,6.91E-02,          ,          ,          ,          ,1280000,
 DSO 2      123,          ,          ,          ,          ,1.31E-01,2.70E-01,3.69E-01,2.10E-02,1286742,
 DSO 1      129,5.87E-01,-1.19,2.976,9.52E-03,          ,          ,          ,          ,1290000,
 DSO 2      124,          ,          ,          ,          ,2.10E-01,2.50E-01,2.10E-01,2.14E-02,1296742,
 DSO 1      130,6.83E-01,-9.92E-01,-1.389,4.92E-02,          ,          ,          ,          ,1300000,
 DSO 2      125,          ,          ,          ,          ,5.08E-01,4.68E-01,7.14E-02,1.07E-02,1306742,
 DSO 1      131,6.19E-01,-1.389,3.373,7.50E-02,          ,          ,          ,          ,1310000,
 DSO 2      126,          ,          ,          ,          ,2.50E-01,1.11E-01,3.49E-01,8.33E-03,1316742,
 DSO 1      132,8.41E-01,-1.786,1.19,7.70E-02,          ,          ,          ,          ,1320000,
 DSO 2      127,          ,          ,          ,          ,3.69E-01,7.14E-02,5.68E-01,9.92E-03,1326742,
 DSO 1      133,7.14E-01,-1.587,2.579,5.91E-02,          ,          ,          ,          ,1330000,
 DSO 2      128,          ,          ,          ,          ,4.29E-01,4.09E-01,1.31E-01,2.22E-02,1336742,
 DSO 1      134,8.41E-01,4.762,4.365,8.89E-02,          ,          ,          ,          ,1340000,
 DSO 2      129,          ,          ,          ,          ,5.28E-01,-6.75E-02,2.70E-01,1.67E-02,1346742,
 DSO 1      135,9.05E-01,5.95E-01,4.563,1.05E-01,          ,          ,          ,          ,1350000,
 DSO 2      130,          ,          ,          ,          ,9.13E-02,1.19E-02,5.68E-01,1.75E-02,1356742,
 DSO 1      136,5.71E-01,-2.976,2.183,6.31E-02,          ,          ,          ,          ,1360000,
