               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,,
 DSO 2      640,          ,          ,          ,          ,1.31E-01,3.89E-01,-1.67E-01,1.31E-02,6458088,
 DSO 1      646,8.73E-01,3.571,6.151,4.41E-02,          ,          ,          ,          ,6460000,
 DSO 2      641,          ,          ,          ,          ,5.16E-02,3.49E-01,5.48E-01,1.03E-02,6468088,
 DSO 1      647,7.94E-01,-3.97E-01,3.373,6.19E-02,          ,          ,          ,          ,6470000,
 DSO 2      642,          ,          ,          ,          ,4.68E-01,3.18E-02,3.69E-01,5.95E-03,6478088,
 DSO 1      648,8.73E-01,2.579,4.563,5.71E-02,          ,          ,          ,          ,6480000,
 DSO 2      643,          ,          ,          ,          ,1.11E-01,-7.94E-03,3.49E-01,1.23E-02,6488088,
 DSO 1      649,7.46E-01,2.381,9.92E-01,4.88E-02,          ,          ,          ,          ,6490000,
 DSO 2      644,          ,          ,          ,          ,4.29E-01,3.18E-02,4.68E-01,1.79E-02,6498088,
 DSO 1      650,4.44E-01,-1.98E-01,4.563,4.17E-02,          ,          ,          ,          ,6500000,
 DSO 2      645,          ,          ,          ,          ,2.90E-01,3.29E-01,7.66E-01,1.19E-02,6508088,
 DSO 1      651,7.78E-01,-5.95E-01,7.94E-01,3.93E-02,          ,          ,          ,          ,6510000,
 DSO 2      646,          ,          ,          ,          ,2.30E-01,1.11E-01,6.47E-01,2.02E-02,6518088,
 DSO 1      652,8.41E-01,1.19,2.976,3.93E-02,          ,          ,          ,          ,6520000,
 DSO 2      647,          ,          ,          ,          ,1.51E-01,1.91E-01,2.10E-01,1.07E-02,6528088,
 DSO 1      653,7.62E-01,1.587,7.94E-01,3.57E-02,          ,          ,          ,          ,6530000,
 DSO 2      648,          ,          ,          ,          ,4.09E-01,1.31E-01,1.19E-02,9.52E-03,6538088,
 DSO 1      654,8.89E-01,-1.19,4.563,5.48E-02,          ,          ,          ,          ,6540000,
 DSO 2      649,          ,          ,          ,          ,1.31E-01,2.50E-01,3.89E-01,9.52E-03,6548088,
 DSO 1      655,9.21E-01,0,2.381,5.00E-02,          ,          ,          ,          ,6550000,
 DSO 2      650,          ,          ,          ,          ,1.91E-01,4.29E-01,2.90E-01,1.59E-03,6558088,
 DSO 1      656,6.67E-01,3.97E-01,1.389,5.95E-02,          ,          ,          ,          ,6560000,
 DSO 2      651,          ,          ,          ,          ,3.69E-01,2.70E-01,4.88E-01,1.63E-02,6568088,
 DSO 1      657,7.94E-01,3.97E-01,0,5.95E-02,          ,          ,          ,          ,6570000,
 DSO 2      652,          ,          ,          ,          ,2.30E-01,1.91E-01,1.51E-01,1.79E-02,6578088,
 DSO 1      658,4.13E-01,-2.381,1.587,4.29E-02,          ,          ,          ,          ,6580000,
 DSO 2      653,          ,          ,          ,          ,4.29E-01,1.19E-02,4.29E-01,1.79E-02,6588088,
 DSO 1      659,6.98E-01,-9.92E-01,3.571,4.41E-02,          ,          ,          ,          ,6590000,
 DSO 2      654,          ,          ,          ,          ,2.30E-01,2.70E-01,6.87E-01,1.87E-02,6598088,
 DSO 1      660,6.98E-01,9.92E-01,1.786,4.41E-02,          ,          ,          ,          ,6600000,
 DSO 2      655,          ,          ,          ,          ,5.87E-01,1.91E-01,3.29E-01,1.15E-02,6608088,
 DSO 1      661,6.67E-01,-1.98E-01,3.175,3.69E-02,          ,          ,          ,          ,6610000,
 DSO 2      656,          ,          ,          ,          ,3.10E-01,2.70E-01,1.71E-01,9.52E-03,6618088,
 DSO 1      662,7.30E-01,1.98E-01,3.373,6.43E-02,          ,          ,          ,          ,6620000,
 DSO 2      657,          ,          ,          ,          ,3.18E-02,1.31E-01,3.49E-01,1.07E-02,6628088,
 DSO 1      663,8.89E-01,-1.19,0,6.91E-02,          ,          ,          ,          ,6630000,
 DSO 2      658,          ,          ,          ,          ,2.30E-01,1.91E-01,1.11E-01,6.35E-03,6638088,
 DSO 1      664,8.73E-01,5.95E-01,3.968,5.71E-02,          ,          ,          ,          ,6640000,
 DSO 2      659,          ,          ,          ,          ,4.09E-01,1.51E-01,1.11E-01,9.52E-03,6648088,
 DSO 1      665,5.24E-01,1.984,1.19,4.76E-02,          ,          ,          ,          ,6650000,
 DSO 2      660,          ,          ,          ,          ,4.09E-01,5.16E-02,5.28E-01,2.10E-02,6658088,
 DSO 1      666,7.30E-01,1.587,2.579,3.33E-02,          ,          ,          ,          ,6660000,
 DSO 2      661,          ,          ,          ,          ,4.09E-01,2.90E-01,2.30E-01,1.63E-02,6668088,
 DSO 1      667,7.46E-01,-2.579,2.183,5.12E-02,          ,          ,          ,          ,6670000,
 DSO 2      662,          ,          ,          ,          ,3.49E-01,2.50E-01,4.88E-01,1.98E-02,6678088,
 DSO 1      668,5.40E-01,-1.19,3.571,1.55E-02,          ,          ,          ,          ,6680000,
 DSO 2      663,          ,          ,          ,          ,4.09E-01,2.10E-01,3.49E-01,1.55E-02,6688088,
 DSO 1      669,6.51E-01,-1.19,-9.92E-01,3.69E-02,          ,          ,          ,          ,6690000,
 DSO 2      664,          ,          ,          ,          ,4.88E-01,-4.76E-02,2.50E-01,1.07E-02,6698088,
 DSO 1      670,5.71E-01,-1.389,3.571,5.24E-02,          ,          ,          ,          ,6700000,
 DSO 2      665,          ,          ,          ,          ,3.49E-01,-6.75E-02,2.90E-01,7.54E-03,6708088,
 DSO 1      671,8.25E-01,-1.984,1.587,5.36E-02,          ,          ,          ,          ,6710000,
 DSO 2      666,          ,          ,          ,          ,2.70E-01,3.18E-02,4.09E-01,9.13E-03,6718088,
 DSO 1      672,6.83E-01,-1.786,2.976,4.29E-02,          ,          ,          ,          ,6720000,
 DSO 2      667,          ,          ,          ,          ,4.09E-01,3.18E-02,1.11E-01,1.07E-02,6728088,
 DSO 1      673,8.10E-01,4.762,4.762,6.19E-02,          ,          ,          ,          ,6730000,
 DSO 2      668,          ,          ,          ,          ,3.69E-01,1.51E-01,3.10E-01,1.83E-02,6738088,
 DSO 1      674,8.41E-01,5.95E-01,5.357,7.02E-02,          ,          ,          ,          ,6740000,
 DSO 2      669,          ,          ,          ,          ,2.70E-01,2.10E-01,7.86E-01,1.71E-02,6748088,
 DSO 1      675,5.40E-01,-3.373,2.778,4.64E-02,          ,          ,          ,          ,6750000,
 DSO 2      670,          ,          ,          ,          ,1.51E-01,2.90E-01,3.89E-01,2.02E-02,6758088,
 DSO 1      676,4.92E-01,-3.97E-01,5.357,2.62E-02,          ,          ,          ,          ,6760000,
 DSO 2      671,          ,          ,          ,          ,1.91E-01,2.70E-01,2.30E-01,2.14E-02,6768088,
 DSO 1      677,5.71E-01,1.389,2.778,4.76E-02,          ,          ,          ,          ,6770000,
 DSO 2      672,          ,          ,          ,          ,5.08E-01,4.48E-01,9.13E-02,9.92E-03,6778088,
 DSO 1      678,7.30E-01,-7.94E-01,5.357,2.14E-02,          ,          ,          ,          ,6780000,
 DSO 2      673,          ,          ,          ,          ,2.70E-01,9.13E-02,4.09E-01,7.14E-03,6788088,
 DSO 1      679,9.05E-01,-9.92E-01,3.373,4.17E-02,          ,          ,          ,          ,6790000,
 DSO 2      674,          ,          ,          ,          ,3.89E-01,5.16E-02,5.68E-01,9.92E-03,6798088,
 DSO 1      680,8.10E-01,-5.95E-01,5.95E-01,3.45E-02,          ,          ,          ,          ,6800000,
 DSO 2      675,          ,          ,          ,          ,4.09E-01,3.49E-01,1.51E-01,2.14E-02,6808088,
 DSO 1      681,6.35E-01,2.381,3.968,6.19E-02,          ,          ,          ,          ,6810000,
 DSO 2      676,          ,          ,          ,          ,5.48E-01,-8.73E-02,3.29E-01,1.59E-02,6818088,
 DSO 1      682,8.57E-01,2.183,2.778,4.52E-02,          ,          ,          ,          ,6820000,
 DSO 2      677,          ,          ,          ,          ,7.14E-02,-7.94E-03,5.87E-01,1.71E-02,6828088,
 DSO 1      683,7.78E-01,-1.984,3.968,4.05E-02,          ,          ,          ,          ,6830000,
 DSO 2      678,          ,          ,          ,          ,3.49E-01,9.13E-02,5.08E-01,1.19E-02,6838088,
 DSO 1      684,7.78E-01,-7.94E-01,3.571,3.57E-02,          ,          ,          ,          ,6840000,
 DSO 2      679,          ,          ,          ,          ,4.88E-01,9.13E-02,5.16E-02,1.55E-02,6848088,
 DSO 1      685,7.14E-01,1.98E-01,3.77,5.48E-02,          ,          ,          ,          ,6850000,
 DSO 2      680,          ,          ,          ,          ,2.90E-01,4.68E-01,-4.76E-02,7.94E-03,6858088,
 DSO 1      686,6.19E-01,7.94E-01,2.976,4.17E-02,          ,          ,          ,          ,6860000,
 DSO 2      681,          ,          ,          ,          ,-8.73E-02,3.10E-01,3.10E-01,1.23E-02,6868088,
 DSO 1      687,9.21E-01,-1.389,-1.98E-01,6.91E-02,          ,          ,          ,          ,6870000,
 DSO 2      682,          ,          ,          ,          ,3.49E-01,3.10E-01,2.50E-01,9.52E-03,6878088,
 DSO 1      688,7.78E-01,-2.778,2.183,3.69E-02,          ,          ,          ,          ,6880000,
 DSO 2      683,          ,          ,          ,          ,4.88E-01,3.29E-01,3.29E-01,1.75E-02,6888088,
 DSO 1      689,6.51E-01,3.77,2.381,7.38E-02,          ,          ,          ,          ,6890000,
 DSO 2      684,          ,          ,          ,          ,3.29E-01,5.08E-01,4.09E-01,1.63E-02,6898088,
 DSO 1      690,8.25E-01,3.97E-01,3.175,5.12E-02,          ,          ,          ,          ,6900000,
 DSO 2      685,          ,          ,          ,          ,3.69E-01,2.10E-01,4.29E-01,8.73E-03,6908088,
 DSO 1      691,7.78E-01,-2.381,2.183,2.86E-02,          ,          ,          ,          ,6910000,
 DSO 2      686,          ,          ,          ,          ,2.90E-01,5.16E-02,6.67E-01,1.94E-02,6918088,
 DSO 1      692,6.67E-01,-3.571,1.587,2.74E-02,          ,          ,          ,          ,6920000,
 DSO 2      687,          ,          ,          ,          ,3.29E-01,7.14E-02,5.08E-01,2.02E-02,6928088,
 DSO 1      693,6.51E-01,-9.92E-01,-3.97E-01,4.05E-02,          ,          ,          ,          ,6930000,
 DSO 2      688,          ,          ,          ,          ,3.18E-02,3.89E-01,1.31E-01,1.39E-02,6938088,
 DSO 1      694,8.25E-01,1.98E-01,5.159,3.45E-02,          ,          ,          ,          ,6940000,
 DSO 2      689,          ,          ,          ,          ,1.51E-01,1.51E-01,2.10E-01,1.39E-02,6948088,
 DSO 1      695,5.24E-01,0,2.183,6.07E-02,          ,          ,          ,          ,6950000,
 DSO 2      690,          ,          ,          ,          ,2.10E-01,7.14E-02,2.90E-01,5.56E-03,6958088,
 DSO 1      696,9.84E-01,3.97E-01,0,3.10E-02,          ,          ,          ,          ,6960000,
 DSO 2      691,          ,          ,          ,          ,3.89E-01,1.71E-01,1.31E-01,1.51E-02,6968088,
 DSO 1      697,9.05E-01,9.92E-01,4.96,4.29E-02,          ,          ,          ,          ,6970000,
 DSO 2      692,          ,          ,          ,          ,2.50E-01,2.90E-01,5.28E-01,7.94E-03,6978088,
 DSO 1      698,6.83E-01,3.97E-01,4.167,4.88E-02,          ,          ,          ,          ,6980000,
 DSO 2      693,          ,          ,          ,          ,5.87E-01,4.09E-01,3.29E-01,1.47E-02,6988088,
 DSO 1      699,8.10E-01,9.92E-01,2.976,5.24E-02,          ,          ,          ,          ,6990000,
 DSO 2      694,          ,          ,          ,          ,3.49E-01,1.19E-02,2.70E-01,1.75E-02,6998088,
 DSO 1      700,7.78E-01,-2.778,4.96,1.79E-02,          ,          ,          ,          ,7000000,
 DSO 2      695,          ,          ,          ,          ,4.88E-01,2.30E-01,2.10E-01,1.63E-02,7008088,
 DSO 1      701,6.51E-01,-1.587,5.357,1.79E-02,          ,          ,          ,          ,7010000,
 DSO 2      696,          ,          ,          ,          ,2.70E-01,3.10E-01,6.67E-01,1.51E-02,7018088,
 DSO 1      702,8.10E-01,-9.92E-01,3.175,3.93E-02,          ,          ,          ,          ,7020000,
 DSO 2      697,          ,          ,          ,          ,2.50E-01,9.13E-02,3.29E-01,8.73E-03,7028088,
 DSO 1      703,7.62E-01,-7.94E-01,3.77,1.31E-02,          ,          ,          ,          ,7030000,
 DSO 2      698,          ,          ,          ,          ,4.29E-01,2.10E-01,2.70E-01,1.35E-02,7038088,
 DSO 1      704,8.41E-01,7.94E-01,2.579,4.88E-02,          ,          ,          ,          ,7040000,
 DSO 2      699,          ,          ,          ,          ,5.08E-01,3.69E-01,2.50E-01,1.59E-02,7048088,
 DSO 1      705,6.67E-01,1.19,4.762,5.60E-02,          ,          ,          ,          ,7050000,
 DSO 2      700,          ,          ,          ,          ,4.88E-01,4.68E-01,4.88E-01,1.23E-02,7058088,
 DSO 1      706,1.063,2.579,5.952,5.83E-02,          ,          ,          ,          ,7060000,
 DSO 2      701,          ,          ,          ,          ,5.08E-01,1.11E-01,4.68E-01,9.52E-03,7068088,
 DSO 1      707,7.62E-01,1.786,3.373,4.41E-02,          ,          ,          ,          ,7070000,
 DSO 2      702,          ,          ,          ,          ,6.87E-01,5.16E-02,2.70E-01,1.07E-02,7078088,
 DSO 1      708,7.94E-01,-3.373,2.976,2.86E-02,          ,          ,          ,          ,7080000,
 DSO 2      703,          ,          ,          ,          ,5.16E-02,1.91E-01,4.09E-01,2.26E-02,7088088,
 DSO 1      709,8.41E-01,-1.98E-01,1.984,2.14E-02,          ,          ,          ,          ,7090000,
 DSO 2      704,          ,          ,          ,          ,2.50E-01,1.11E-01,3.49E-01,2.38E-02,7098088,
 DSO 1      710,6.83E-01,0,2.976,3.21E-02,          ,          ,          ,          ,7100000,
 DSO 2      705,          ,          ,          ,          ,4.88E-01,7.14E-02,3.69E-01,7.54E-03,7108088,
 DSO 1      711,8.10E-01,1.389,1.786,3.45E-02,          ,          ,          ,          ,7110000,
 DSO 2      706,          ,          ,          ,          ,4.88E-01,1.91E-01,5.08E-01,1.23E-02,7118088,
 DSO 1      712,6.67E-01,-1.19,2.579,3.33E-02,          ,          ,          ,          ,7120000,
 DSO 2      707,          ,          ,          ,          ,2.50E-01,3.69E-01,3.18E-02,1.55E-02,7128088,
 DSO 1      713,1.016,-1.19,4.96,5.83E-02,          ,          ,          ,          ,7130000,
 DSO 2      708,          ,          ,          ,          ,9.13E-02,-4.76E-02,2.70E-01,1.59E-02,7138088,
 DSO 1      714,7.94E-01,7.94E-01,2.183,4.76E-02,          ,          ,          ,          ,7140000,
 DSO 2      709,          ,          ,          ,          ,2.50E-01,-1.27E-01,4.68E-01,1.51E-02,7148088,
 DSO 1      715,7.62E-01,2.579,4.167,5.71E-02,          ,          ,          ,          ,7150000,
 DSO 2      710,          ,          ,          ,          ,-1.47E-01,3.69E-01,3.29E-01,1.71E-02,7158088,
 DSO 1      716,6.03E-01,3.97E-01,2.976,3.10E-02,          ,          ,          ,          ,7160000,
 DSO 2      711,          ,          ,          ,          ,5.87E-01,3.89E-01,2.90E-01,2.18E-02,7168088,
 DSO 1      717,6.03E-01,-1.19,3.373,3.93E-02,          ,          ,          ,          ,7170000,
 DSO 2      712,          ,          ,          ,          ,1.51E-01,3.18E-02,4.88E-01,1.43E-02,7178088,
 DSO 1      718,5.56E-01,9.92E-01,4.762,3.93E-02,          ,          ,          ,          ,7180000,
 DSO 2      713,          ,          ,          ,          ,1.71E-01,4.29E-01,3.49E-01,1.23E-02,7188088,
 DSO 1      719,5.24E-01,-2.778,1.984,2.14E-02,          ,          ,          ,          ,7190000,
 DSO 2      714,          ,          ,          ,          ,1.11E-01,-4.76E-02,5.16E-02,9.13E-03,7198088,
 DSO 1      720,7.94E-01,-2.579,4.96,5.12E-02,          ,          ,          ,          ,7200000,
 DSO 2      715,          ,          ,          ,          ,4.48E-01,4.48E-01,4.09E-01,1.35E-02,7208088,
 DSO 1      721,6.98E-01,3.77,1.984,5.60E-02,          ,          ,          ,          ,7210000,
 DSO 2      716,          ,          ,          ,          ,1.71E-01,3.18E-02,4.68E-01,1.35E-02,7218088,
 DSO 1      722,9.68E-01,1.98E-01,4.365,6.91E-02,          ,          ,          ,          ,7220000,
 DSO 2      717,          ,          ,          ,          ,3.69E-01,1.91E-01,8.25E-01,1.23E-02,7228088,
 DSO 1      723,7.94E-01,9.92E-01,1.984,3.57E-02,          ,          ,          ,          ,7230000,
 DSO 2      718,          ,          ,          ,          ,-2.78E-02,5.16E-02,2.50E-01,1.71E-02,7238088,
 DSO 1      724,7.94E-01,7.94E-01,2.381,4.41E-02,          ,          ,          ,          ,7240000,
 DSO 2      719,          ,          ,          ,          ,4.48E-01,1.51E-01,7.86E-01,2.02E-02,7248088,
 DSO 1      725,5.40E-01,5.95E-01,5.159,2.98E-02,          ,          ,          ,          ,7250000,
 DSO 2      720,          ,          ,          ,          ,6.87E-01,3.69E-01,2.70E-01,1.39E-02,7258088,
 DSO 1      726,6.83E-01,-7.94E-01,2.381,4.76E-02,          ,          ,          ,          ,7260000,
 DSO 2      721,          ,          ,          ,          ,2.10E-01,7.14E-02,1.91E-01,9.52E-03,7268088,
 DSO 1      727,7.14E-01,-3.97E-01,7.94E-01,4.17E-02,          ,          ,          ,          ,7270000,
 DSO 2      722,          ,          ,          ,          ,9.13E-02,2.90E-01,-7.94E-03,4.37E-03,7278088,
 DSO 1      728,8.73E-01,2.579,1.389,4.52E-02,          ,          ,          ,          ,7280000,
 DSO 2      723,          ,          ,          ,          ,2.90E-01,-8.73E-02,7.14E-02,9.13E-03,7288088,
 DSO 1      729,9.52E-01,2.579,1.19,4.17E-02,          ,          ,          ,          ,7290000,
 DSO 2      724,          ,          ,          ,          ,3.29E-01,1.11E-01,5.08E-01,1.35E-02,7298088,
 DSO 1      730,8.57E-01,3.77,5.95E-01,4.64E-02,          ,          ,          ,          ,7300000,
 DSO 2      725,          ,          ,          ,          ,4.29E-01,4.48E-01,5.28E-01,3.57E-03,7308088,
 DSO 1      731,7.46E-01,2.976,2.183,4.17E-02,          ,          ,          ,          ,7310000,
 DSO 2      726,          ,          ,          ,          ,3.10E-01,1.51E-01,4.09E-01,1.63E-02,7318088,
 DSO 1      732,9.37E-01,-1.786,1.98E-01,3.33E-02,          ,          ,          ,          ,7320000,
 DSO 2      727,          ,          ,          ,          ,9.13E-02,2.30E-01,3.69E-01,2.30E-02,7328088,
 DSO 1      733,7.62E-01,-1.98E-01,4.167,4.41E-02,          ,          ,          ,          ,7330000,
 DSO 2      728,          ,          ,          ,          ,2.50E-01,2.30E-01,5.08E-01,1.63E-02,7338088,
 DSO 1      734,7.78E-01,-7.94E-01,2.778,4.29E-02,          ,          ,          ,          ,7340000,
 DSO 2      729,          ,          ,          ,          ,1.91E-01,-1.07E-01,6.27E-01,1.79E-02,7348088,
 DSO 1      735,5.08E-01,1.19,2.579,3.33E-02,          ,          ,          ,          ,7350000,
 DSO 2      730,          ,          ,          ,          ,9.13E-02,3.89E-01,2.30E-01,1.11E-02,7358088,
 DSO 1      736,6.98E-01,-2.183,4.167,2.50E-02,          ,          ,          ,          ,7360000,
 DSO 2      731,          ,          ,          ,          ,2.10E-01,1.91E-01,2.90E-01,7.54E-03,7368088,
 DSO 1      737,7.14E-01,1.98E-01,4.365,4.05E-02,          ,          ,          ,          ,7370000,
 DSO 2      732,          ,          ,          ,          ,1.91E-01,2.70E-01,3.10E-01,1.15E-02,7378088,
 DSO 1      738,1,9.92E-01,3.968,4.52E-02,          ,          ,          ,          ,7380000,
 DSO 2      733,          ,          ,          ,          ,6.27E-01,2.10E-01,4.29E-01,6.35E-03,7388088,
 DSO 1      739,8.25E-01,-1.19,3.175,5.36E-02,          ,          ,          ,          ,7390000,
 DSO 2      734,          ,          ,          ,          ,3.49E-01,1.31E-01,3.10E-01,1.35E-02,7398088,
 DSO 1      740,5.56E-01,1.389,4.563,5.00E-02,          ,          ,          ,          ,7400000,
 DSO 2      735,          ,          ,          ,          ,4.48E-01,2.50E-01,6.07E-01,7.94E-03,7408088,
 DSO 1      741,5.08E-01,-2.976,6.151,4.29E-02,          ,          ,          ,          ,7410000,
 DSO 2      736,          ,          ,          ,          ,4.29E-01,2.30E-01,3.49E-01,1.27E-02,7418088,
 DSO 1      742,4.29E-01,-2.579,1.786,4.17E-02,          ,          ,          ,          ,7420000,
 DSO 2      737,          ,          ,          ,          ,3.49E-01,3.49E-01,5.08E-01,1.23E-02,7428088,
 DSO 1      743,6.98E-01,-1.984,-3.97E-01,4.64E-02,          ,          ,          ,          ,7430000,
 DSO 2      738,          ,          ,          ,          ,2.70E-01,1.51E-01,-2.06E-01,1.03E-02,7438088,
 DSO 1      744,6.19E-01,-3.97E-01,4.365,3.57E-02,          ,          ,          ,          ,7440000,
 DSO 2      739,          ,          ,          ,          ,1.51E-01,4.68E-01,-1.47E-01,1.35E-02,7448088,
 DSO 1      745,8.89E-01,3.571,6.349,4.41E-02,          ,          ,          ,          ,7450000,
 DSO 2      740,          ,          ,          ,          ,9.13E-02,3.49E-01,5.48E-01,1.11E-02,7458088,
 DSO 1      746,8.10E-01,-5.95E-01,3.373,6.31E-02,          ,          ,          ,          ,7460000,
 DSO 2      741,          ,          ,          ,          ,4.29E-01,3.18E-02,3.69E-01,5.95E-03,7468088,
 DSO 1      747,8.73E-01,2.579,4.365,5.71E-02,          ,          ,          ,          ,7470000,
 DSO 2      742,          ,          ,          ,          ,1.31E-01,3.18E-02,3.69E-01,1.35E-02,7478088,
 DSO 1      748,7.62E-01,2.183,9.92E-01,4.64E-02,          ,          ,          ,          ,7480000,
 DSO 2      743,          ,          ,          ,          ,4.09E-01,3.18E-02,4.68E-01,1.75E-02,7488088,
 DSO 1      749,5.24E-01,0,4.365,4.29E-02,          ,          ,          ,          ,7490000,
 DSO 2      744,          ,          ,          ,          ,2.70E-01,3.89E-01,7.46E-01,1.27E-02,7498088,
 DSO 1      750,7.78E-01,-5.95E-01,7.94E-01,4.05E-02,          ,          ,          ,          ,7500000,
 DSO 2      745,          ,          ,          ,          ,1.91E-01,9.13E-02,6.27E-01,2.06E-02,7508088,
 DSO 1      751,8.57E-01,9.92E-01,2.976,3.93E-02,          ,          ,          ,          ,7510000,
 DSO 2      746,          ,          ,          ,          ,1.31E-01,2.30E-01,2.30E-01,1.15E-02,7518088,
 DSO 1      752,7.78E-01,1.389,5.95E-01,3.57E-02,          ,          ,          ,          ,7520000,
 DSO 2      747,          ,          ,          ,          ,4.29E-01,1.71E-01,3.18E-02,1.11E-02,7528088,
 DSO 1      753,9.05E-01,-7.94E-01,4.762,5.71E-02,          ,          ,          ,          ,7530000,
 DSO 2      748,          ,          ,          ,          ,1.51E-01,2.70E-01,4.29E-01,9.52E-03,7538088,
 DSO 1      754,9.37E-01,0,2.183,5.12E-02,          ,          ,          ,          ,7540000,
 DSO 2      749,          ,          ,          ,          ,2.10E-01,4.29E-01,3.10E-01,2.78E-03,7548088,
 DSO 1      755,6.83E-01,3.97E-01,1.19,6.07E-02,          ,          ,          ,          ,7550000,
 DSO 2      750,          ,          ,          ,          ,3.49E-01,2.70E-01,4.88E-01,1.59E-02,7558088,
 DSO 1      756,8.25E-01,3.97E-01,1.98E-01,5.95E-02,          ,          ,          ,          ,7560000,
 DSO 2      751,          ,          ,          ,          ,2.50E-01,2.10E-01,1.51E-01,1.79E-02,7568088,
 DSO 1      757,4.44E-01,-2.579,1.587,4.41E-02,          ,          ,          ,          ,7570000,
 DSO 2      752,          ,          ,          ,          ,4.29E-01,1.19E-02,4.29E-01,1.87E-02,7578088,
 DSO 1      758,7.14E-01,-1.19,3.373,4.29E-02,          ,          ,          ,          ,7580000,
 DSO 2      753,          ,          ,          ,          ,2.30E-01,2.90E-01,6.67E-01,1.79E-02,7588088,
 DSO 1      759,7.14E-01,1.19,1.786,4.41E-02,          ,          ,          ,          ,7590000,
 DSO 2      754,          ,          ,          ,          ,5.87E-01,2.30E-01,3.29E-01,1.15E-02,7598088,
 DSO 1      760,6.83E-01,-1.98E-01,3.175,3.81E-02,          ,          ,          ,          ,7600000,
 DSO 2      755,          ,          ,          ,          ,3.49E-01,3.29E-01,1.71E-01,1.03E-02,7608088,
 DSO 1      761,7.30E-01,0,3.571,6.55E-02,          ,          ,          ,          ,7610000,
 DSO 2      756,          ,          ,          ,          ,9.13E-02,1.51E-01,3.69E-01,1.11E-02,7618088,
 DSO 1      762,9.21E-01,-1.587,0,7.02E-02,          ,          ,          ,          ,7620000,
 DSO 2      757,          ,          ,          ,          ,2.30E-01,2.30E-01,1.31E-01,6.75E-03,7628088,
 DSO 1      763,8.89E-01,5.95E-01,3.77,5.60E-02,          ,          ,          ,          ,7630000,
 DSO 2      758,          ,          ,          ,          ,4.09E-01,1.71E-01,9.13E-02,9.13E-03,7638088,
 DSO 1      764,5.56E-01,1.984,1.587,4.88E-02,          ,          ,          ,          ,7640000,
 DSO 2      759,          ,          ,          ,          ,3.69E-01,5.16E-02,5.08E-01,2.18E-02,7648088,
 DSO 1      765,7.14E-01,1.19,2.579,3.57E-02,          ,          ,          ,          ,7650000,
 DSO 2      760,          ,          ,          ,          ,4.29E-01,3.49E-01,2.30E-01,1.67E-02,7658088,
 DSO 1      766,7.62E-01,-2.381,1.786,5.00E-02,          ,          ,          ,          ,7660000,
 DSO 2      761,          ,          ,          ,          ,3.49E-01,2.70E-01,5.28E-01,1.98E-02,7668088,
 DSO 1      767,5.71E-01,-1.19,3.571,1.55E-02,          ,          ,          ,          ,7670000,
 DSO 2      762,          ,          ,          ,          ,3.69E-01,2.30E-01,3.29E-01,1.67E-02,7678088,
 DSO 1      768,6.67E-01,-1.19,-5.95E-01,3.81E-02,          ,          ,          ,          ,7680000,
 DSO 2      763,          ,          ,          ,          ,5.28E-01,-4.76E-02,2.30E-01,1.15E-02,7688088,
 DSO 1      769,5.71E-01,-1.786,3.77,5.24E-02,          ,          ,          ,          ,7690000,
 DSO 2      764,          ,          ,          ,          ,3.10E-01,-4.76E-02,3.10E-01,9.13E-03,7698088,
 DSO 1      770,8.25E-01,-2.183,1.587,5.48E-02,          ,          ,          ,          ,7700000,
 DSO 2      765,          ,          ,          ,          ,2.50E-01,7.14E-02,3.89E-01,9.13E-03,7708088,
 DSO 1      771,6.98E-01,-1.786,2.976,4.41E-02,          ,          ,          ,          ,7710000,
 DSO 2      766,          ,          ,          ,          ,4.09E-01,9.13E-02,1.31E-01,1.11E-02,7718088,
 DSO 1      772,8.57E-01,4.762,4.762,6.07E-02,          ,          ,          ,          ,7720000,
 DSO 2      767,          ,          ,          ,          ,3.69E-01,1.91E-01,3.49E-01,1.91E-02,7728088,
 DSO 1      773,8.57E-01,3.97E-01,5.556,7.14E-02,          ,          ,          ,          ,7730000,
 DSO 2      768,          ,          ,          ,          ,2.90E-01,2.50E-01,7.86E-01,1.67E-02,7738088,
 DSO 1      774,5.87E-01,-3.373,2.976,4.64E-02,          ,          ,          ,          ,7740000,
 DSO 2      769,          ,          ,          ,          ,1.31E-01,2.90E-01,3.89E-01,2.06E-02,7748088,
 DSO 1      775,4.92E-01,-5.95E-01,5.357,2.62E-02,          ,          ,          ,          ,7750000,
 DSO 2      770,          ,          ,          ,          ,2.10E-01,2.50E-01,2.30E-01,2.06E-02,7758088,
 DSO 1      776,5.71E-01,1.19,2.976,4.76E-02,          ,          ,          ,          ,7760000,
 DSO 2      771,          ,          ,          ,          ,5.48E-01,4.29E-01,1.51E-01,1.03E-02,7768088,
 DSO 1      777,7.62E-01,-5.95E-01,5.556,2.26E-02,          ,          ,          ,          ,7770000,
 DSO 2      772,          ,          ,          ,          ,2.70E-01,1.11E-01,3.69E-01,9.52E-03,7778088,
 DSO 1      778,9.21E-01,-7.94E-01,3.571,4.41E-02,          ,          ,          ,          ,7780000,
