               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,,
 DSO 2       27,          ,          ,          ,          ,6.87E-01,3.89E-01,2.70E-01,1.47E-02,328088,
 DSO 1       33,6.83E-01,-3.97E-01,1.786,4.88E-02,          ,          ,          ,          ,330000,
 DSO 2       28,          ,          ,          ,          ,1.91E-01,7.14E-02,2.10E-01,8.73E-03,338088,
 DSO 1       34,7.46E-01,0,1.98E-01,4.29E-02,          ,          ,          ,          ,340000,
 DSO 2       29,          ,          ,          ,          ,9.13E-02,3.10E-01,-7.94E-03,3.97E-03,348088,
 DSO 1       35,8.73E-01,2.778,9.92E-01,4.76E-02,          ,          ,          ,          ,350000,
 DSO 2       30,          ,          ,          ,          ,2.90E-01,-1.87E-01,7.14E-02,7.94E-03,358088,
 DSO 1       36,9.52E-01,2.579,3.97E-01,4.29E-02,          ,          ,          ,          ,360000,
 DSO 2       31,          ,          ,          ,          ,3.10E-01,1.11E-01,5.08E-01,1.31E-02,368088,
 DSO 1       37,8.57E-01,3.968,1.98E-01,4.76E-02,          ,          ,          ,          ,370000,
 DSO 2       32,          ,          ,          ,          ,3.89E-01,4.09E-01,4.88E-01,3.57E-03,378088,
 DSO 1       38,7.46E-01,3.373,1.984,4.41E-02,          ,          ,          ,          ,380000,
 DSO 2       33,          ,          ,          ,          ,2.70E-01,1.11E-01,3.89E-01,1.63E-02,388088,
 DSO 1       39,9.68E-01,-1.389,0,3.57E-02,          ,          ,          ,          ,390000,
 DSO 2       34,          ,          ,          ,          ,7.14E-02,2.10E-01,3.49E-01,2.30E-02,398088,
 DSO 1       40,7.62E-01,3.97E-01,3.571,4.76E-02,          ,          ,          ,          ,400000,
 DSO 2       35,          ,          ,          ,          ,2.70E-01,2.50E-01,4.48E-01,1.63E-02,408088,
 DSO 1       41,7.94E-01,-7.94E-01,2.183,4.41E-02,          ,          ,          ,          ,410000,
 DSO 2       36,          ,          ,          ,          ,1.91E-01,-1.27E-01,6.07E-01,1.71E-02,418088,
 DSO 1       42,5.24E-01,1.389,2.579,3.57E-02,          ,          ,          ,          ,420000,
 DSO 2       37,          ,          ,          ,          ,5.16E-02,3.89E-01,2.30E-01,1.15E-02,428088,
 DSO 1       43,7.14E-01,-1.587,3.571,2.74E-02,          ,          ,          ,          ,430000,
 DSO 2       38,          ,          ,          ,          ,1.91E-01,1.71E-01,2.70E-01,7.14E-03,438088,
 DSO 1       44,7.14E-01,3.97E-01,3.968,4.17E-02,          ,          ,          ,          ,440000,
 DSO 2       39,          ,          ,          ,          ,1.71E-01,3.10E-01,3.10E-01,1.15E-02,448088,
 DSO 1       45,1,1.786,3.571,4.76E-02,          ,          ,          ,          ,450000,
 DSO 2       40,          ,          ,          ,          ,6.07E-01,1.71E-01,4.29E-01,7.54E-03,458088,
 DSO 1       46,8.10E-01,-7.94E-01,3.175,5.60E-02,          ,          ,          ,          ,460000,
 DSO 2       41,          ,          ,          ,          ,3.29E-01,9.13E-02,2.90E-01,1.23E-02,468088,
 DSO 1       47,5.56E-01,1.587,3.571,5.00E-02,          ,          ,          ,          ,470000,
 DSO 2       42,          ,          ,          ,          ,3.89E-01,1.91E-01,5.48E-01,7.94E-03,478088,
 DSO 1       48,5.24E-01,-2.778,5.754,4.52E-02,          ,          ,          ,          ,480000,
