1290	0.00E+00	3.77E+03	-2.376
1295		--	
1300	992.1	-1984	32.14
1305		--	
1310	-1786	1.39E+03	-2.376
1315		--	
1320	-198.4	-1190	264.3
1325		--	
1330	2.58E+03	-595.2	186.9
1335		--	
1340	-1786	-3571	142.9
1345		--	
1350	-1190	1.39E+03	-2.376
1355		--	
1360	-4960	992.1	-2.376
1365		--	
1370	1.79E+03	1.59E+03	-2.376
1375		--	
1380	793.7	-793.7	183.3
1385		--	
1390	-595.2	396.8	90.48
1395		--	
1400	-1190	-1984	13.1
1405		--	
1410	793.7	-1190	-2.376
1415		--	
1420	-595.2	-1389	-2.376
1425		--	
1430	-3175	4.37E+03	-2.376
1435		--	
1440	-5357	595.2	154.8
1445		--	
1450	-396.8	3.77E+03	48.81
1455		--	
1460	-1190	2.78E+03	57.14
1465		--	
1470	-2579	-1587	-2.376
1475		--	
1480	198.4	-1389	14.29
1485		--	
1490	-1389	-1984	35.71
1495		--	
1500	-1389	-3175	101.2
1505		--	
1510	-992.1	793.7	46.43
1515		--	
1520	-5159	992.1	61.9
1525		--	
1530	-396.8	3.57E+03	-2.376
1535		--	
1540	-1389	1.19E+03	8.333
1545		--	
1550	793.7	-992.1	-2.376
1555		--	
1560	-3175	-2183	80.95
1565		--	
1570	992.1	992.1	71.43
1575		--	
1580	1.19E+03	-4960	73.81
1585		--	
1590	-595.2	198.4	-2.376
1595		--	
1600	-5159	1.19E+03	38.1
1605		--	
1610	-198.4	-1190	13.1
1615		--	
1620	-1587	0.00E+00	86.9
1625		--	
1630	-3571	-3175	41.67
1635		--	
1640	-793.7	-3373	72.62
1645		--	
1650	-1587	992.1	-2.376
1655		--	
1660	-396.8	-2381	51.19
1665		--	
1670	-1389	0.00E+00	15.48
1675		--	
1680	-3175	0.00E+00	67.86
1685		--	
1690	-4365	3.57E+03	9.524
1695		--	
1700	198.4	1.79E+03	25
1705		--	
1710	992.1	3.37E+03	3.571
1715		--	
1720	-3373	-4365	34.52
1725		--	
1730	-2976	-1389	-2.376
1735		--	
1740	2.58E+03	-2183	45.24
1745		--	
1750	-793.7	-2579	16.67
1755		--	
1760	198.4	-198.4	67.86
1765		--	
1770	-4365	793.7	10.71
1775		--	
1780	-396.8	396.8	35.71
1785		--	
1790	-2579	0.00E+00	13.1
1795		--	
1800	-1587	396.8	39.29
1805		--	
1810	-3571	-198.4	46.43
1815		--	
1820	793.7	-3373	52.38
1825		--	
1830	-1786	-595.2	25
1835		--	
1840	-4563	1.19E+03	29.76
1845		--	
1850	-1984	1.59E+03	19.97ne3   
1855		--	
1860	-1984	3.18E+03	34.52
1865		--	
1870	-1786	3.37E+03	46.43
1875		--	
1880	198.4	1.39E+03	34.52
1885		--	
1890	-1190	-793.7	35.71
1895		--	
1900	-3373	-1389	-2.376
1905		--	
1910	4.17E+03	-1587	57.14
1915		--	
