				Integrated Y1	Integrated Y2							
				Integrate of B x=(0,7490) Area = -5.63888e+06	Integrate of C x=(0,7490) Area = -397100							
180	0	992.1	35.71	-175597	132933.5	71429.7741920004	48601.6251247504	-3065.56656656657	35.6696396396397	515.356630823281	34.9074480293247	22828.14906725
185		--		--	--	--	--	-2713.1021021021	34.9528528528529	532.948063081069	33.7595041162585	--
190	-2976	992.1	26.19	-190477	142854.5	69119.4801604241	56270.6889221745	-35.7457457457531	25.1311311311312	545.321523289582	32.2422819477266	12848.7912382495
195		--		--	--	--	--	587.131431431433	31.1620320320321	560.264977614623	21.5876616807008	--
200	-3770	1587	16.67	-224207	155750	47959.1861288477	66914.2527195986	-469.036036036035	28.0875675675676	574.713224791608	34.1151982272081	-18955.0665907509
205		--		--	--	--	--	-1453.64884884885	26.8928128128128	589.321422490836	37.2236814718713	--
210	-2976	3175	29.76	-257937	179560	26798.8920972713	88472.3165170227	-412.096496496495	40.2833433433434	605.877398663275	32.5576417637188	-61673.4244197514
215		--		--	--	--	--	1361.98918918919	39.6009009009009	617.710778543253	21.6738429469415	--
220	-198.4	1389	26.19	-273809	202380	23496.598065695	109040.380314447	142.398398398388	38.1225125125125	631.79214173997	27.2563243352822	-85543.7822487518
225		--		--	--	--	--	-1644.01001001001	35.4824824824825	649.415579229507	35.501361784934	--
230	793.7	-1389	14.29	-270832.5	202380	39042.8040341186	106788.444111871	-1197.15915915916	31.0214714714715	662.600174886282	25.9759456802729	-67745.6400777522
235		--		--	--	--	--	-4118.08108108109	27.4383683683684	679.848150182754	30.9680701282523	--
240	-595.2	198.4	30.95	-269840	196427	52605.0100025422	98583.5079092949	-1773.3993993994	26.19	693.792370176998	30.1306192340586	-45978.4979067526
245		--		--	--	--	--	1597.65735735736	30.1447447447447	706.448863491249	21.3522442663759	--
250	992.1	-198.4	26.19	-267855.5	196427	67159.2159709659	96331.5717067189	1002.43103103103	42.6430730730731	721.34441570511	33.5812136358783	-29172.3557357531
255		--		--	--	--	--	-323.564464464464	34.9621821821822	735.892173962051	39.3482643186179	--
