               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Timestamp
 DSO 2       27,          ,          ,          ,          ,3.29E-01,-6.75E-02,4.48E-01,1.55E-02,321692
 DSO 1       33,5.56E-01,-4.365,3.373,2.14E-02,          ,          ,          ,          ,330000
 DSO 2       28,          ,          ,          ,          ,1.31E-01,1.19E-02,3.69E-01,1.39E-02,331692
 DSO 1       34,5.71E-01,1.98E-01,1.786,2.38E-02,          ,          ,          ,          ,340000
 DSO 2       29,          ,          ,          ,          ,4.09E-01,2.50E-01,5.08E-01,2.02E-02,341692
 DSO 1       35,4.76E-01,9.92E-01,3.373,3.21E-02,          ,          ,          ,          ,350000
 DSO 2       30,          ,          ,          ,          ,4.88E-01,3.18E-02,4.09E-01,9.92E-03,351692
 DSO 1       36,7.14E-01,-3.175,-4.365,4.17E-02,          ,          ,          ,          ,360000
 DSO 2       31,          ,          ,          ,          ,6.47E-01,4.68E-01,8.45E-01,1.47E-02,361692
 DSO 1       37,6.67E-01,-2.579,-1.587,3.57E-02,          ,          ,          ,          ,370000
 DSO 2       32,          ,          ,          ,          ,6.67E-01,3.89E-01,5.68E-01,1.47E-02,371692
 DSO 1       38,5.08E-01,2.579,-2.183,3.33E-02,          ,          ,          ,          ,380000
 DSO 2       33,          ,          ,          ,          ,5.08E-01,5.28E-01,6.27E-01,2.14E-02,381692
 DSO 1       39,6.83E-01,-5.95E-01,-2.579,2.74E-02,          ,          ,          ,          ,390000
 DSO 2       34,          ,          ,          ,          ,5.87E-01,3.69E-01,8.06E-01,1.75E-02,391692
 DSO 1       40,6.35E-01,1.98E-01,-3.97E-01,5.00E-02,          ,          ,          ,          ,400000
 DSO 2       35,          ,          ,          ,          ,3.89E-01,1.51E-01,6.07E-01,1.87E-02,401692
 DSO 1       41,5.71E-01,-4.365,9.92E-01,1.91E-02,          ,          ,          ,          ,410000
 DSO 2       36,          ,          ,          ,          ,2.90E-01,1.91E-01,4.48E-01,1.55E-02,411692
