               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,           
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,  Timestamp
 DSO 2       25,          ,          ,          ,          ,-0.417    ,-0.377    ,0.281     ,0.0167    ,   -7886862
 DSO 1       32,0.508     ,0.40      ,3.77      ,0.0714    ,          ,          ,          ,          ,   -7877276
 DSO 2       26,          ,          ,          ,          ,0.079     ,-0.278    ,0.638     ,0.0194    ,   -7876862
 DSO 1       33,0.810     ,-0.40     ,0.40      ,0.0675    ,          ,          ,          ,          ,   -7867276
 DSO 2       27,          ,          ,          ,          ,0.337     ,0.000     ,0.317     ,0.0143    ,   -7866862
 DSO 1       34,0.873     ,1.19      ,2.58      ,0.0655    ,          ,          ,          ,          ,   -7857276
 DSO 2       28,          ,          ,          ,          ,-0.179    ,-0.397    ,0.293     ,0.0083    ,   -7856862
 DSO 1       35,0.794     ,1.79      ,0.20      ,0.0595    ,          ,          ,          ,          ,   -7847276
 DSO 2       29,          ,          ,          ,          ,-0.298    ,-0.159    ,0.162     ,0.0032    ,   -7846862
 DSO 1       36,0.921     ,-0.79     ,3.97      ,0.0933    ,          ,          ,          ,          ,   -7837276
 DSO 2       30,          ,          ,          ,          ,-0.060    ,-0.536    ,0.198     ,0.0083    ,   -7836862
 DSO 1       37,0.968     ,0.00      ,1.59      ,0.0873    ,          ,          ,          ,          ,   -7827276
 DSO 2       31,          ,          ,          ,          ,-0.020    ,-0.278    ,0.460     ,0.0123    ,   -7826862
 DSO 1       38,0.698     ,0.60      ,0.79      ,0.1032    ,          ,          ,          ,          ,   -7817276
 DSO 2       32,          ,          ,          ,          ,0.020     ,0.020     ,0.448     ,0.0036    ,   -7816862
 DSO 1       39,0.825     ,0.79      ,-0.20     ,0.0992    ,          ,          ,          ,          ,   -7807276
 DSO 2       33,          ,          ,          ,          ,-0.119    ,-0.298    ,0.388     ,0.0163    ,   -7806862
 DSO 1       40,0.460     ,-2.18     ,0.79      ,0.0754    ,          ,          ,          ,          ,   -7797276
 DSO 2       34,          ,          ,          ,          ,-0.317    ,-0.198    ,0.364     ,0.0226    ,   -7796862
 DSO 1       41,0.746     ,-0.79     ,2.98      ,0.0734    ,          ,          ,          ,          ,   -7787276
 DSO 2       35,          ,          ,          ,          ,-0.099    ,-0.179    ,0.424     ,0.0159    ,   -7786862
 DSO 1       42,0.762     ,1.19      ,1.59      ,0.0734    ,          ,          ,          ,          ,   -7777276
 DSO 2       36,          ,          ,          ,          ,-0.198    ,-0.496    ,0.519     ,0.0175    ,   -7776862
 DSO 1       43,0.683     ,0.40      ,2.38      ,0.0635    ,          ,          ,          ,          ,   -7767276
 DSO 2       37,          ,          ,          ,          ,-0.298    ,-0.079    ,0.305     ,0.0103    ,   -7766862
 DSO 1       44,0.746     ,0.20      ,3.17      ,0.1071    ,          ,          ,          ,          ,   -7757276
 DSO 2       38,          ,          ,          ,          ,-0.139    ,-0.218    ,0.317     ,0.0075    ,   -7756862
 DSO 1       45,0.937     ,-1.39     ,-0.40     ,0.1171    ,          ,          ,          ,          ,   -7747276
 DSO 2       39,          ,          ,          ,          ,-0.139    ,-0.119    ,0.317     ,0.0111    ,   -7746862
 DSO 1       46,0.905     ,0.60      ,3.57      ,0.0933    ,          ,          ,          ,          ,   -7737276
 DSO 2       40,          ,          ,          ,          ,0.258     ,-0.179    ,0.412     ,0.0060    ,   -7736862
 DSO 1       47,0.571     ,2.18      ,0.79      ,0.0833    ,          ,          ,          ,          ,   -7727276
 DSO 2       41,          ,          ,          ,          ,-0.060    ,-0.317    ,0.352     ,0.0123    ,   -7726862
 DSO 1       48,0.746     ,1.59      ,1.98      ,0.0575    ,          ,          ,          ,          ,   -7717276
 DSO 2       42,          ,          ,          ,          ,0.000     ,-0.218    ,0.507     ,0.0063    ,   -7716862
 DSO 1       49,0.778     ,-2.38     ,1.19      ,0.0853    ,          ,          ,          ,          ,   -7707276
 DSO 2       43,          ,          ,          ,          ,0.020     ,-0.159    ,0.352     ,0.0131    ,   -7706862
 DSO 1       50,0.587     ,-1.19     ,3.17      ,0.0238    ,          ,          ,          ,          ,   -7697276
 DSO 2       44,          ,          ,          ,          ,-0.040    ,-0.020    ,0.436     ,0.0131    ,   -7696862
 DSO 1       51,0.698     ,-1.19     ,-1.39     ,0.0655    ,          ,          ,          ,          ,   -7687276
